from_name,from_address,subject,body_text,name,office_sought,party_affiliation,office_level,district_type,final_website,crawl_date,source,state,type,subtype,date,hour,day,uid_email,uid_inbox,incumbent
New Mexico House Dems Campaign Staff,info@nmhdcc.com,Your State Legislators Hard At Work,"#
Holding our majority in the state House is critical.
#
Alex,
In this challenging time, our work to move New Mexico forward continues.
In conversations with constituents, business owners, educators, and other state leaders, our House Democrats are working on solutions that center New Mexico’s public health needs and that support families and businesses that are struggling.
But right now, they’re facing unprecedented backlash from Trump and from politicians here in New Mexico who are putting politics ahead of responsible policymaking. In fact, just yesterday in a committee meeting, a GOP state senator suggested that New Mexico stop testing for COVID entirely!
This is why it’s so critical that we hold our Democratic majority in the state House. But we need your help. The legislature is our firewall against the Trump administration's regressive agenda, and our members will continue fighting for all New Mexicans.
If you can, please consider rushing a $10 contribution right now to help us hold our Democratic majority. Our people-powered campaign is exactly what Republicans are most afraid of, and with your support, we’ll usher in another blue wave in NM this November.
If you've saved your payment information with ActBlue Express, your donation will go through immediately:
$5 $10 $15
$25 $50 Other
\- The NM House Dems Campaign Team
CONTRIBUTE
Paid for by NM HDCC, Karla Vecchia, Treasurer.
NM HDCC
PO Box 27654
Albuquerque NM 87125 United States
If you believe you received this message in error or wish to no longer receive email from us, please unsubscribe.",New Mexico House Democratic Campaign Committee,,Democratic Party,,,https://www.nmhdcc.com/,12-15-2019,orgs,New Mexico,527 group,,2020-07-17,19,Fri,982cb4913bd0d816d205bed129013273,89558698734251188fa5d5d9c9e5486b,
Rep. Javier Martinez,info@nmhdcc.com,Tonight! A Discussion of Key State House Campaigns,"#
Alex,
Please join myself, Rep. Melanie Stansbury, and Rep. Day Hochman-Vigil for a preview of the 2020 general election and key battleground races.
Tonight, Thursday June 11th, from 6pm to 7pm.
The event will be hosted on Zoom, and the link to join will be provided upon RSVP. Click here to RSVP now!
Thanks and we look forward to ""seeing"" you tonight.
Sincerely,
Rep. Javier Martínez
Co-Chair, NM House Democratic Campaign Committee
RSVP NOW
Paid for by NM HDCC, Karla Vecchia, Treasurer.
NM HDCC
PO Box 27654
Albuquerque NM 87125 United States
If you believe you received this message in error or wish to no longer receive email from us, please unsubscribe.",New Mexico House Democratic Campaign Committee,,Democratic Party,,,https://www.nmhdcc.com/,12-15-2019,orgs,New Mexico,527 group,,2020-06-11,12,Thu,8bf843d1b5dc4120180347df8f50852a,89558698734251188fa5d5d9c9e5486b,
New Mexico House Dems,info@nmhdcc.com,Happy Independence Day,"#
Happy Independence Day, Alex,
Nearly 250 years ago, American colonists declared their independence from a foreign power and rose up to chart a new course toward freedom, liberty, and equality. A commitment to the ideals of freedom, cooperation, and progress were secured into our country’s founding, and every year since, Americans have continued to fight to draw those ideals forward. We have yet to realize the promise of our Nation, but the American way is to constantly strive to make the promise of America a reality for every American.
Today, we see that spirit all around us. The urgent fight for freedom, equity, and an end to racial oppression continues. So does the fight for fairness and dignity in health care, education, and economic opportunity. And millions of Americans are making personal sacrifices to protect the lives of their neighbors during this pandemic – despite the lack of leadership from our country’s highest office.
Americans continue these fights because they are necessary, they are urgent, and because we know that progress is possible in America.
On July 4th, we are reflecting on the ideals expressed by our founders, we are grateful for the Americans today, and throughout history, who fought for them, and we are holding everyone who is facing hardship in our thoughts.
It’s a difficult time for so many in our state. As COVID cases spike around our country and in neighboring states, we all have to do our part to follow the emergency health orders and refrain from large gatherings. Our health, safety, and the reopening of our state depend on each and every one of us doing our part.
We hope that however you are celebrating, that you and your loved ones are having a peaceful and happy Independence Day.
Sincerely,
The NM House Democrats
Paid for by NM HDCC, Karla Vecchia, Treasurer.
NM HDCC
PO Box 27654
Albuquerque NM 87125 United States
If you believe you received this message in error or wish to no longer receive email from us, please unsubscribe.",New Mexico House Democratic Campaign Committee,,Democratic Party,,,https://www.nmhdcc.com/,12-15-2019,orgs,New Mexico,527 group,,2020-07-04,13,Sat,d2122e55e85ae0c53bfa9f6006b18751,89558698734251188fa5d5d9c9e5486b,
Rep. Christine Trujillo,info@nmhdcc.com,"We Can’t Ignore $110,000","#
BREAKING: Trump’s $110k Ads in New Mexico
#
Alex, this is a development we can’t afford to ignore.
Trump is spending $110,000 on TV ads in New Mexico this week alone, and tens of thousands more online, to ramp up his efforts to win New Mexico in November.
That’s a huge sum of cash to spend in our small state with months still to go until Election Day. And with no signs of slowing down, it’s going to dramatically alter the political landscape in New Mexico.
We have to fight back to ensure that our candidates can still compete and get their message out. Will you rush a donation to our campaign today and help reach swing voters?
Because of the level of spending by the Trump campaign, our Democratic House candidates will have to work twice as hard to break through Trump’s toxicity. The margins in our key districts are very tight, and we can’t afford to get drowned out by a message of divisiveness.
Why is Trump spending so much money in New Mexico?
According to his own advisors, Trump needs to win states like New Mexico to get re-elected. His polls are slipping in the Midwest and now he’s doubling down on New Mexico, New Hampshire, and Nevada.
We have to be ready for months of partisan ads designed to divide us and rile up Trump’s base. We can keep New Mexico blue and elect new Democratic champions, but we need your help now more than ever.
Together, we’re going to send Trump and the GOP packing.
\- Rep. Christine Trujillo, HD-25
CONTRIBUTE
Paid for by NM HDCC, Karla Vecchia, Treasurer.
NM HDCC
PO Box 27654
Albuquerque NM 87125 United States
If you believe you received this message in error or wish to no longer receive email from us, please unsubscribe.",New Mexico House Democratic Campaign Committee,,Democratic Party,,,https://www.nmhdcc.com/,12-15-2019,orgs,New Mexico,527 group,,2020-07-08,09,Wed,7ca47ae54b5fd87159ca1f1c6f698162,89558698734251188fa5d5d9c9e5486b,
New Mexico House Dems,info@nmhdcc.com,The Democratic Majority In The State House,"#
We're in this fight together.
#
Alex,
We are counting down to tonight's fundraising deadline and we're asking you, if you are able, to make a contribution to the NM House Democratic Campaign.
Your donation will have a tremendous impact on our efforts to hold the majority in the state House and chart a responsible course through this pandemic. Right now, we’re fighting to elect bold new Democratic leaders and to protect our Democratic champions who are being challenged by the GOP. We need your help today.
To keep pace with the massive funding that the New Mexico GOP is receiving from Republicans nationally, we need to hit each monthly goal. We can’t do it without help from supporters like you. Can you pitch in now?
If you've saved your payment information with ActBlue Express, your donation will go through immediately:
$5 $10 $15
$35 $50 Other
We are so grateful to have committed folks like you leading the charge to protect and grow our majority this year. We need strong leadership at the state level now more than ever, and winning this election is possible only because of your steadfast support.
We hope we can count on you again today. Pitch in now
Thank you so much,
The NM House Dems
CONTRIBUTE
Paid for by NM HDCC, Karla Vecchia, Treasurer.
NM HDCC
PO Box 27654
Albuquerque NM 87125 United States
If you believe you received this message in error or wish to no longer receive email from us, please unsubscribe.",New Mexico House Democratic Campaign Committee,,Democratic Party,,,https://www.nmhdcc.com/,12-15-2019,orgs,New Mexico,527 group,,2020-07-31,18,Fri,b6257efb32f8110d8f3564c63568f139,89558698734251188fa5d5d9c9e5486b,
New Mexico House Dems,info@nmhdcc.com,Join us! Sierra Club Executive Director and Speaker Egolf,"#
Alex,
Please join Speaker Brian Egolf, Representative Angelica Rubio, and very special guest Michael Brune, National Executive Director of the Sierra Club, for an exclusive online discussion! Get your tickets today.
Sunday, August 16th, at 3pm.
The event will be hosted on Zoom, and the link to join will be provided upon RSVP. Click here to RSVP now!
Thanks and we look forward to ""seeing"" you this coming Sunday.
Sincerely,
The NM House Dems
RSVP NOW
Paid for by Egolf Speaker Fund, Karla Vecchia, Treasurer.
Egolf Speaker Fund
PO Box 27654
Albuquerque NM 87125 United States
If you believe you received this message in error or wish to no longer receive email from us, please unsubscribe.",New Mexico House Democratic Campaign Committee,,Democratic Party,,,https://www.nmhdcc.com/,12-15-2019,orgs,New Mexico,527 group,,2020-08-11,17,Tue,640d5e9a0881464bd57ab3145136fe33,89558698734251188fa5d5d9c9e5486b,
New Mexico House Dems,info@nmhdcc.com,It's Election Day! And a personal invitation,"#
#
Alex -- today is primary election day... if you haven't yet, please go vote! Polls are open until 7pm; remember to wear your mask and keep your distance from others. Also, if you received your absentee ballot but have not yet mailed it back, do not mail it today! Take it to a voting center and drop it off before polls close. Absentee ballots must be received by the county clerk by 7pm today.
If you never received your absentee ballot, you can still go vote in person today. Just head to any voting center in your county, sign a form cancelling your absentee request, and vote right there. Find your polling place here.
We'd also like to invite you to join Speaker of the House Brian Egolf and select House Democratic primary election winners for a virtual discussion of the June 2nd primary election results!
The discussion is this Thursday June 4th, from 6pm to 7pm.
The event will be hosted on Zoom, and the link will be provided upon RSVP. Click here to RSVP now.
Thanks and we look forward to ""seeing"" you on Thursday!
Sincerely,
The NM House Dems
RSVP NOW
Paid for by NM HDCC, Karla Vecchia, Treasurer.
NM HDCC
PO Box 27654
Albuquerque NM 87125 United States
If you believe you received this message in error or wish to no longer receive email from us, please unsubscribe.",New Mexico House Democratic Campaign Committee,,Democratic Party,,,https://www.nmhdcc.com/,12-15-2019,orgs,New Mexico,527 group,,2020-06-02,14,Tue,71b287335a17747bd180dfe25c3fbe9a,89558698734251188fa5d5d9c9e5486b,
The New Mexico House Dems,info@nmhdcc.com,Join Us - A Discussion of Key State House Campaigns,"#
Alex,
Please join House Democratic Campaign Co-Chair Javier Martínez, Rep. Melanie Stansbury, and Rep. Day Hochman-Vigil for a preview of the 2020 general election and key battleground races.
This Thursday, June 11th, from 6pm to 7pm.
The event will be hosted on Zoom, and the link to join will be provided upon RSVP. Click here to RSVP now!
Thanks and we look forward to ""seeing"" you this Thursday.
Sincerely,
The NM House Dems
RSVP NOW
Paid for by NM HDCC, Karla Vecchia, Treasurer.
NM HDCC
PO Box 27654
Albuquerque NM 87125 United States
If you believe you received this message in error or wish to no longer receive email from us, please unsubscribe.",New Mexico House Democratic Campaign Committee,,Democratic Party,,,https://www.nmhdcc.com/,12-15-2019,orgs,New Mexico,527 group,,2020-06-08,22,Mon,c6e7da8688f96121d16bc128d9362a96,89558698734251188fa5d5d9c9e5486b,
New Mexico House Dems,info@nmhdcc.com,You're Invited: Holding Our Democratic Majority in the NM state House,"#
Alex,
Please join NM House Speaker Brian Egolf, the NM House Dems, and special guests U.S. Senators Tom Udall and Martin Heinrich, Congressman Ben Ray Luján, and Congresswomen Deb Haaland and Xochitl Torres Small for our last major virtual event before the 2020 election! Get your tickets today.
We're going all out for our biggest event and we hope you can join us. Hear from NM's federal delegation about what it will take to bring home a blue wave in November, and how they work with our state leaders every day to build a stronger New Mexico. Bring your questions and your determination to win.
Tuesday, October 6th, at 6:00pm.
The event will be hosted on Zoom, and the link to join will be provided upon RSVP. Click here to RSVP now!
Thanks and we look forward to ""seeing"" you Tuesday, Oct. 6th!
Sincerely,
The NM House Dems
RSVP NOW
Paid for by the NM HDCC, Karla Vecchia, Treasurer.
NM HDCC
PO Box 27654
Albuquerque NM 87125 United States
If you believe you received this message in error or wish to no longer receive email from us, please unsubscribe.",New Mexico House Democratic Campaign Committee,,Democratic Party,,,https://www.nmhdcc.com/,12-15-2019,orgs,New Mexico,527 group,,2020-09-23,10,Wed,163649d56b411488281cbf8df084e097,89558698734251188fa5d5d9c9e5486b,
New Mexico House Dems,info@nmhdcc.com,On This Memorial Day,"#
Alex,
On Memorial Day, New Mexicans remember the men and women who made the ultimate sacrifice and gave their lives for our country. This year, without large gatherings, many of our traditions will be different. Still, we are able to honor and remember those who have served.
Moreover, this Memorial Day, we also pay tribute to the frontline healthcare workers, first responders, and other essential workers who have tragically lost their lives to COVID-19. We owe them and their loved ones our deepest respect and gratitude.
New Mexicans have served throughout our nation’s history to protect the freedom and safety of all of us at home. Today we honor these sacrifices, and the ongoing service of our Gold Star families, for whom every single day is Memorial Day. We take time to recommit ourselves to making our communities and our country a beacon for the values for which they fought.
It is difficult, especially for our military families, to be unable to gather in person this year, but we know how important our caution is, and that continued social distancing is saving lives. We want our Gold Star families to know that they are still in our thoughts. We are wishing a peaceful Memorial Day to them, to our veterans, and to everyone joining in remembrance of these heroes.
Our ability to pursue our dreams, to speak openly, and to live peacefully in diverse communities are freedoms that our fellow New Mexicans have given their lives to protect. We are forever grateful for their service.
Sincerely,
The NM House Democrats
Paid for by NM HDCC, Karla Vecchia, Treasurer.
NM HDCC
PO Box 27654
Albuquerque NM 87125 United States
If you believe you received this message in error or wish to no longer receive email from us, please unsubscribe.",New Mexico House Democratic Campaign Committee,,Democratic Party,,,https://www.nmhdcc.com/,12-15-2019,orgs,New Mexico,527 group,,2020-05-25,15,Mon,51f775ec544189c7f93f4b33cdfa0b7a,89558698734251188fa5d5d9c9e5486b,
