from_name,from_address,subject,body_text,name,office_sought,party_affiliation,office_level,district_type,final_website,crawl_date,source,state,type,subtype,date,hour,day,uid_email,uid_inbox,incumbent
New York State Democratic Committee,info@nydems.org,Invite to New York for Biden + Harris Debate pre-Program,"Image
Hello,
Please join us TOMORROW on Tuesday, September 29th from 8PM - 9 PM for New York's official Presidential Debate pre-program. We will be joined by a number of special guests and supporters from across the state.
RSVP here: [[URL REDACTED]]
Please feel free to share this invitation with your organizations, family, and friends. See you tomorrow night for the first debate!
Alternate text
FacebookTwitter
New York State Democratic Committee
420 Lexington Avenue, New York, NY 10170
[[URL REDACTED]]
This message was sent to Alex Brown because you are a part of the State Committee. Please DO NOT unsubscribe as you may not receive important Party updates. If you wish to receive fewer emails, please contact us at [[URL REDACTED]] Please add us to your address book or approved senders list to make sure you keep receiving these updates.
Unsubscribe",New York Democrats,,Democratic Party,,,https://nydems.org/,12-02-2019,orgs,New York,State Political Party,,2020-09-28,08,Mon,3d13c230dfa30e1e01adedd155997c01,6c6f2afe6d84156e832eadee1b2e0172,
New York State Democratic Committee,info@nydems.org,Op-Ed by Chairman Jay S. Jacobs,"Image
Image
Chairman Jay Jacobs shares his thoughts on the leadership of Governor Cuomo during this time of crisis in the Newsday Op-Ed Section.
The Cuomo leadership impact
By Jay Jacobs
The Siena Research Institute poll released Monday confirmed what many have been saying for the past two weeks: Andrew M. Cuomo, right now, is a hot commodity. Virtually, wherever you go, people want Cuomo for president — not in 2024, but today.
As a “Draft Cuomo 2020” account popped on Twitter, the governor has made it clear, most recently on his brother Chris’ news show, that he is not running for president. So, why is Cuomo’s handling of the coronavirus outbreak creating such a political paradigm shift? What is the shelf-life of his dramatic rise in popularity? And, how long can it last, and where could it take him?
Americans are starving for leadership. The example set by President Donald Trump makes that hunger even more acute. All of a sudden, experience is no longer a bad word. The “establishment” is what is mobilizing to fight the COVID-19 pandemic. And, many voters have a newfound respect and appreciation for government. Say what you want about Cuomo, but he has spent his career as a part of that establishment, acquiring years of experience IN government.
This crisis hasn’t changed Cuomo. It has changed the public’s appetite for what Cuomo has always been: a strong, effective and competent leader. It seems that now, as happens in history from time to time, the man may have found his moment.
Eighty-seven percent of New Yorkers approve of Cuomo’s handling of the COVID-19 crisis. Seventy-one percent have an overall favorable impression of him. His popularity extends across all regions, religions, ethnicities, and age groups. Even an impressive 42% of Republicans favor him now. Popularity built on extraordinary leadership in times of crisis is not that unique. After the 9/11 attack, then-Mayor Rudy Giuliani’s approval rating reached 79%. Then-President George W. Bush’s popularity peaked at 92% after the attack, and was a steady 80% to 90% for four months before it began to plummet.
The question is how sustainable is Cuomo’s popularity and is it deep enough to last to his next reelection in 2022 or the next presidential race in 2024? I would argue that Cuomo’s newfound popularity is much deeper than that of either Mayor Giuliani or President Bush.
For one, this crisis is much more personal to each and every citizen. As horrendous and consequential the 9/11 attack was on America, that is just what it was — an attack on our nation and our city. While it was extremely personal to those who lost loved ones, for society as a whole, for the most part, the physical threat did not hit every member of that society. Bush’s and Giuliani’s popularity after 9/11 was built on admiration and national pride.
In the 9/11 attack, our emotions were built around “us.” In this crisis, it’s much closer to home — it’s about “me and mine.” Whether it is the fear of getting ill or dying, the fear for the well-being of loved ones, or the fear of financial hardship, this threat is way more personal. Many people trust that Cuomo will get them through and out of this ordeal, safe and secure. His popularity is built on that trust — a much deeper, enduring emotion than admiration.
Cuomo, like FDR during the Depression, trusted the public with the truth. In turn, they have grown to trust and rely on him in a deeply personal way. Through the use of empathy and compassion, Cuomo has personalized the crisis, articulating clearly his view that the value of life trumps economic or other considerations. For a populace both personally scared and uncertain, his words not only reassure, but they uplift and call us to a higher purpose. Cuomo’s leadership is not just strategic or tactical — it is moral. And, moral leadership, in times like these, builds a strong bond of trust between the leader and those he leads.
Bush depleted his 9/11 popularity by breaking faith with the bipartisan spirit born in the attack and wasted it over the hunt for weapons of mass destruction. Giuliani’s popularity faded in the transparency of his ambition tied to the successes that built his popularity in the first place.
No one can predict the future. Surely, Giuliani saw his very differently. For Cuomo, if he continues to lead New York with common sense, honesty and purpose, retaining the public trust he has earned, the future will take care of itself.
###
Facebook Twitter
Paid for by the New York State Democratic Committee
420 Lexington Avenue, New York, NY 10170
[[URL REDACTED]]
This message was sent to Alex Brown because you are a part of the State Committee. Please DO NOT unsubscribe as you may not receive important Party updates. If you wish to receive fewer emails, please contact us at [[URL REDACTED]] Please add us to your address book or approved senders list to make sure you keep receiving these updates. Contributions or gifts to the New York State Democratic Committee are not tax deductible.
Contributions or gifts to the New York State Democratic Committee are not tax deductible.
Unsubscribe",New York Democrats,,Democratic Party,,,https://nydems.org/,12-02-2019,orgs,New York,State Political Party,,2020-04-01,12,Wed,63214f28070877bee3e2d08a66496bca,6c6f2afe6d84156e832eadee1b2e0172,
New York State Democratic Committee,info@nydems.org,Statement from Democratic Chairman Jay S. Jacobs,"Image
For Immediate Release: 07/18/2020
New York State Democratic Committee
STATEMENT FROM CHAIRMAN JAY S. JACOBS
John Lewis was an American hero. His peaceful work to secure equal treatment under the law for all people during the Civil Right’s movement saw him physically attacked and arrested more than 40 times. Such adversity never deterred John Lewis. The courage, compassion, and leadership he demonstrated during his illustrious career as a public servant is second to none. John Lewis made the world a better place, and losing such an heroic figure during these divisive times is particularly painful. Our thoughts and prayers go out to his family during this difficult time.
###
New York State Democratic Committee | [[URL REDACTED]] | 212.725.8825
Facebook Twitter
Paid for by the New York State Democratic Committee
420 Lexington Avenue, New York, NY 10170
[[URL REDACTED]]
This message was sent to Alex Brown because you are a part of the State Committee. Please DO NOT unsubscribe as you may not receive important Party updates. If you wish to receive fewer emails, please contact us at [[URL REDACTED]] Please add us to your address book or approved senders list to make sure you keep receiving these updates. Contributions or gifts to the New York State Democratic Committee are not tax deductible.
Contributions or gifts to the New York State Democratic Committee are not tax deductible.
Unsubscribe",New York Democrats,,Democratic Party,,,https://nydems.org/,12-02-2019,orgs,New York,State Political Party,,2020-07-18,13,Sat,7d103f84de8b0494377c490b9bdfeec1,6c6f2afe6d84156e832eadee1b2e0172,
New York State Democratic Committee,info@nydems.org,Chairman Jay Jacobs on CNN,"Image
Image
Watch Chairman Jay S. Jacobs talk about the Democratic Presidential Primary and the upcoming Democratic Convention right here on CNN!
""Any member of the Party [[URL REDACTED]] not to vote, they might as well put on a red MAGA hat.""
Image
Facebook Twitter
Paid for by the New York State Democratic Committee
420 Lexington Avenue, New York, NY 10170
[[URL REDACTED]]
This message was sent to Alex Brown because you are a part of the State Committee. Please DO NOT unsubscribe as you may not receive important Party updates. If you wish to receive fewer emails, please contact us at [[URL REDACTED]] Please add us to your address book or approved senders list to make sure you keep receiving these updates. Contributions or gifts to the New York State Democratic Committee are not tax deductible.
Contributions or gifts to the New York State Democratic Committee are not tax deductible.
Unsubscribe",New York Democrats,,Democratic Party,,,https://nydems.org/,12-02-2019,orgs,New York,State Political Party,,2020-02-29,13,Sat,d3b4cde124a1d7730e9b606772fbd67c,6c6f2afe6d84156e832eadee1b2e0172,
New York State Democratic Committee,info@nydems.org,GOTV with the NY Dems in PA!,"Image
Hello Friends --
We're in home stretch, and we need your help to get out the vote in Pennsylvania! The Biden/Harris campaign is looking for New Yorkers who can head to PA to knock doors for any part of GOTV (Sat Oct 31 - Tue Nov 3). Come for a single shift or all four days!
You can sign up HERE (click on “PICK A CANVASS”). This will direct you to a list of all priority canvass locations and shifts in PA.
The campaign will make sure you’re prepared and ready to hit the doors once you arrive in PA. Once you sign up for a canvass, you will be connected to the campaign’s nightly 7pm trainings where you will learn more about the conversations you’ll be having with voters and learn how to track responses on your phone. Please make sure to attend one before your first canvass shift.
All canvassing will follow the campaign’s health and safety protocols to maintain everybody’s safety and comfort levels while volunteering - you will be outside, socially distanced, and wearing a mask.
Spread the word and invite your friends and family! If you can organize a group of 10+ people to canvass for any part of GOTV (Oct 31-Nov 3), please email Lola Ajao ([[URL REDACTED]]) and Jennie Frishtick ([[URL REDACTED]]) and the campaign will work with you to match your group to a canvass.
Now let’s go elect Joe and Kamala!
Thank you,
Jay S. Jacobs
Chairman
Alternate text
New York State Democratic Committee
64 Beaver St, New York, NY 10004
[[URL REDACTED]]
This message was sent to Alex Brown because you are signed up to receive updates about the New York State Democratic Committee. If you wish to receive fewer emails, please contact us at [[URL REDACTED]] Please add us to your address book or approved senders list to make sure you keep receiving these updates.
Unsubscribe",New York Democrats,,Democratic Party,,,https://nydems.org/,12-02-2019,orgs,New York,State Political Party,,2020-10-27,12,Tue,76e4c57cc6513212b2eb6941c7dac53b,6c6f2afe6d84156e832eadee1b2e0172,
"Jay S. Jacobs, Chair",info@nydems.org,National Volunteer Call with Senator Harris,"Image
Dear Friend,
With just under two months to go until Election Day, now is the time for you to get involved to help defeat Donald Trump and elect Joe Biden and Kamala Harris to the White House.
New Yorkers have an incredibly important role to play in this election. We must harness our Democratic volunteer capacity to conduct critical outreach to voters in battleground states.
Please join Senator Harris tonight on the campaign's National Volunteer Video Call at 9:00pm ET to learn more about how you can get involved in this important effort.
You can RSVP for the video call here: [[URL REDACTED]]
Thank You,
Jay S. Jacobs
Chairman
Alternate text
Facebook Twitter
New York State Democratic Committee
420 Lexington Avenue, New York, NY 10170
[[URL REDACTED]]
This message was sent to Alex Brown because you are a part of the State Committee. Please DO NOT unsubscribe as you may not receive important Party updates. If you wish to receive fewer emails, please contact us at [[URL REDACTED]] Please add us to your address book or approved senders list to make sure you keep receiving these updates.
Unsubscribe",New York Democrats,,Democratic Party,,,https://nydems.org/,12-02-2019,orgs,New York,State Political Party,,2020-09-09,16,Wed,4f28c37aecd98132cfd2a51cfa670324,6c6f2afe6d84156e832eadee1b2e0172,
New York State Democratic Committee,info@nydems.org,New York Dems March 2020 Newsletter,"New York State Democratic Committee
March 2020 Party Updates
Remarks from Chairman Jay S. Jacobs
Dear Democrats,
Super Tuesday is upon us! Between now and Election Day, we must work nonstop to implement our plans for victory and turn out every Democrat to vote — and it won’t be possible without the commitment and action of supporters like you.
There is so much on the line this November. And as Democrats, we refuse to stand by and let Republicans go after our values and dismantle everything we’ve worked so hard to build and protect. We don’t need to look any further than right here in New York to see what a difference having Democrats in office makes. Here in New York, we are investing in a $3 billion bond to fight climate change, are continuing to develop historic infrastructure projects like the new Mario M. Cuomo Bridge, and we are supporting middle class families by increasing paid family leave to implementing paid sick leave. We are also expanding free college tuition to more New Yorkers and will continue to fight for middle class tax cuts. We are fighting the new wave of hate and anti-Semitism with increased funding and introducing the Hate Crime Anti-Terrorism Act. Enough is enough.
Later this spring, New York Democrats will also be participating in this ever-important process to select our own delegates for the National Convention. Together, we will defeat Donald Trump and take back the White House.
Onwards,
Jay S. Jacobs
Chairman
Tune in tomorrow at noon to listen to Chairman Jay Jacobs chat with Joe Toohey on FOX 5 New York to discuss what Super Tuesday results will mean and what New York is doing to get ready for the April Primary
What's New
Governor Cuomo's 2020 Legislative Agenda
New York State Presidential Primary and Special Elections Calendar
New York State Legislative Primary Calendar
Governor Andrew M. Cuomo's 2020 Legislative Agenda
On January 8th, 2020, Governor Cuomo announced his legislative priorities for the 2020 legislative session. You can watch the official address here. Here are the exciting things Democrats plan to accomplish this year in New York State!
Image
New York State Presidential Primary and Special Elections Calendar
The Presidential Primary Election will be held on April 28th, 2020. Thanks to the joint effort of the State Party and Governor Cuomo, we were able to secure additional delegates in the 2020 Democratic Convention this year in Milwaukee.
Special elections will also be held on April 28th to fill the vacancy in the 27th Congressional District as well as open state legislative seats in 50th SD including parts of Onondaga and Cayuga Counties, Monroe County (136th AD), Suffolk County (12th AD), and Queens County (21st AD).
Please see below for major dates and deadlines regarding these upcoming elections. Please also refer to the State BOE calendar for additional details, including specific information for military voting.
4/3/2020 | Last day to register for the election by mail OR in person
4/18/2020 | Early Voting begins
4/21/20 | Last day to postmark an application for an absentee ballot
4/26/2020 | Early Voting ends
4/27/2020 | Last day to apply for an absentee ballot in person
4/27/2010 | Last day to postmark a completed absentee ballot
4/28/2020 | Last day to deliver a completed absentee ballot in person
4/28/2020 | Election Day
New York State Legislative Primary Calendar
In addition to the Presidential Primary election, New York State will hold a primary election for Congressional and State Legislative offices on June 23rd, 2020.
Please see below for major dates and deadlines regarding the June Primary. The calendar linked here provides additional information, including specific information for military voting.
5/29/2020 | Last day to register for the election by mail OR in person
6/13/2020 | Early Voting begins
6/16/2020 | Last day to postmark an application for an absentee ballot
6/21/2020 | Early Voting ends
6/22/2020 | Last day to apply for an absentee ballot in person
6/22/2020 | Last day to postmark a completed absentee ballot
6/23/2020 | Last day to deliver a completed absentee ballot in person
6/23/2020 | Election Day
Facebook Twitter
[organization-details]
Unsubscribe",New York Democrats,,Democratic Party,,,https://nydems.org/,12-02-2019,orgs,New York,State Political Party,,2020-03-02,15,Mon,4a0cb64e5917dcc046c4d0a88c17f783,6c6f2afe6d84156e832eadee1b2e0172,
New York State Democratic Committee,info@nydems.org,Statement from the NYSDC on Election Procedures,"Image
For Immediate Release: 03/14/2020
New York State Democratic Committee
STATEMENT FROM THE NEW YORK STATE DEMOCRATIC COMMITTEE
Governor Andrew M. Cuomo has signed an Executive Order temporarily modifying election procedures. This action reduces the number of petition signatures to 30% of the Statutory Threshold; the Petition Period will end at 5PM on Tuesday 3/17. This Executive Order also extends the deadline to apply to vote absentee for Queens Borough President special election on March 24.
""For Congress, candidates would need 375 signatures rather than 1,250. For State Senate, candidates would need 300 signatures rather than 1,000. For Assembly, candidates would only need 150 signatures rather than 500.""
We thank Governor Cuomo for his leadership during the COVID-19 pandemic.
See the full statement from the Governor here.
###
New York State Democratic Committee | [[URL REDACTED]] | 212.725.8825
Facebook Twitter
Paid for by the New York State Democratic Committee
420 Lexington Avenue, New York, NY 10170
[[URL REDACTED]]
This message was sent to Alex Brown because you are a part of the State Committee. Please DO NOT unsubscribe as you may not receive important Party updates. If you wish to receive fewer emails, please contact us at [[URL REDACTED]] Please add us to your address book or approved senders list to make sure you keep receiving these updates. Contributions or gifts to the New York State Democratic Committee are not tax deductible.
Contributions or gifts to the New York State Democratic Committee are not tax deductible.
Unsubscribe",New York Democrats,,Democratic Party,,,https://nydems.org/,12-02-2019,orgs,New York,State Political Party,,2020-03-14,17,Sat,1687098a106caf254530b512c32a49ed,6c6f2afe6d84156e832eadee1b2e0172,
New York State Democratic Committee,info@nydems.org,Join New York's Official Early Vote and GOTV Kickoff Rally!,"Image
Friends--
We are in the final two weeks of the campaign and here in New York that means the historic start of NY's first early voting period and Get-Out-The-Vote activities across New York and in battleground states.
Please join us FRIDAY NIGHT at 7pm for a statewide EARLY VOTE AND GOTV KICKOFF RALLY in conjunction with New York for Biden+Harris 2020 and the New York Democratic Lawyers Council. We will be joined by a number of special guests including Lieutenant Governor Kathy Hochul, Attorney General Letitia James, and more. RSVP for the rally HERE.
Alternate text
Please RSVP FOR THE RALLY HERE.
And then be sure to join us on Saturday and Sunday for our WEEKEND OF ACTION to Get-Out-The-Vote across New York and in swing states across America. You can join virtual phonebanks happening all weekend long. See the schedule and SIGN-UP HERE.
Alternate text
MAKE A PLAN TO VOTE:
As a reminder, please make a PLAN TO VOTE for yourself, your friends, and your family! Visit [[URL REDACTED]] for more information.
Onwards to Victory!
Jay S. Jacobs
Chairman
Facebook Twitter
New York State Democratic Committee
64 Beaver St, New York, NY 10004
[[URL REDACTED]]
This message was sent to Alex Brown because you are a part of the State Committee. Please DO NOT unsubscribe as you may not receive important Party updates. If you wish to receive fewer emails, please contact us at [[URL REDACTED]] Please add us to your address book or approved senders list to make sure you keep receiving these updates.
Unsubscribe",New York Democrats,,Democratic Party,,,https://nydems.org/,12-02-2019,orgs,New York,State Political Party,,2020-10-20,17,Tue,db3d5b5ae77a391e9b32f1f4a2abccbd,6c6f2afe6d84156e832eadee1b2e0172,
New York State Democratic Committee,info@nydems.org,Statement from Democratic Chairman Jay S. Jacobs,"Image
For Immediate Release: 09/11/2020
New York State Democratic Committee
STATEMENT FROM CHAIRMAN JAY S. JACOBS
19 years ago, America suffered its worst attack, killing almost 3,000 innocent people. As time progresses we have a responsibility to remember and honor our fellow Americans who perished in this heinous act of terrorism, and we must also remember and honor the sacrifices by the members of the FDNY, NYPD, Port Authority, members of Flight 93, as well everyone who contributed to the search, rescue, and cleanup of Ground Zero. As New Yorkers it is our responsibility to advocate for and ensure that the first responders and survivors of 9/11 continue to receive the resources they deserve and require.
We must also never let the progression of time erase the memory of what we as a nation endured. Nor should we forget the lessons learned – that a unified America can defeat any enemy, even it takes the form of a virus, by finding our strength in unity, courage through empathy, and hope through our collective resiliency.
###
New York State Democratic Committee | [[URL REDACTED]] | 212.725.8825
Facebook Twitter
Paid for by the New York State Democratic Committee
420 Lexington Avenue, New York, NY 10170
[[URL REDACTED]]
This message was sent to Alex Brown because you are a part of the State Committee. Please DO NOT unsubscribe as you may not receive important Party updates. If you wish to receive fewer emails, please contact us at [[URL REDACTED]] Please add us to your address book or approved senders list to make sure you keep receiving these updates. Contributions or gifts to the New York State Democratic Committee are not tax deductible.
Contributions or gifts to the New York State Democratic Committee are not tax deductible.
Unsubscribe",New York Democrats,,Democratic Party,,,https://nydems.org/,12-02-2019,orgs,New York,State Political Party,,2020-09-11,13,Fri,0b65fbb6ed93a2481ed9dcf08a6645c3,6c6f2afe6d84156e832eadee1b2e0172,
