from_name,from_address,subject,body_text,name,office_sought,party_affiliation,office_level,district_type,final_website,crawl_date,source,state,type,subtype,date,hour,day,uid_email,uid_inbox,incumbent
"Ian Shannon, North Carolina Democrats",headquarters@ncdp.org,10 days out and counting on you,"To turn the most important battleground state blue, we have to reach and mobilize more North Carolinians. $10 can help us reach 100 voters while we've still got time!
North Carolina Democratic Party
Hey y'all,
We only have 10 days left to turn North Carolina blue. Later in this email, I’m going to ask you to contribute to our GOTV fund. But first, I want to tell you more about what’s at stake in the final stretch.
Here’s the situation: 2.98 million North Carolinians have already cast their ballots. The turnout has been so exciting, but we can’t stop now. This is the most consequential election of our lifetimes, we aren’t voting just for Democrats, we’re voting for health care, education, jobs and so much more. In the coming days, President Trump will do everything he can to fire up his base in North Carolina. He’s already visited our state twice this week alone and eight times since August.
To fight back and flip the most important battleground state blue, we have to reach and mobilize millions more Democratic voters statewide -- and we need the resources to make it happen. Team, $10 can help us reach 100 voters during this final stretch, and our finance team is about to make the last, most important investments of this election.
Your commitment right now will supercharge our voter outreach over these final 10 days. Can I count on you to pitch in $10 and support our GOTV fund today?
If you've saved your payment information with ActBlue Express, your donation will go through immediately.
EXPRESS DONATE: $10
EXPRESS DONATE: $25
EXPRESS DONATE: $50
EXPRESS DONATE: $100
EXPRESS DONATE: $200
Or donate another amount.
Anything you can give will power our outreach in this make-or-break final stretch. With your support, we’re going to mobilize even more voters to lift Joe Biden and Democrats up and down the ballot to victory.
Let’s make it count,
Ian
Ian Shannon
Finance Director, North Carolina Democratic Party
North Carolina Democratic Party
P.O. Box 1926
Raleigh, NC 27602
This email was sent to [[EMAIL_REDACTED]] | Communicating with our supporters is critical to the North Carolina Democratic Party’s continued success, and email is one of the best tools we have to do it, but if you'd like to receive only the most important messages, click here. If you wish to unsubscribe you can do so here, however, it will be much harder to stay involved in the organization you have been such a critical member of.
Paid for by the North Carolina Democratic Party ([[URL REDACTED]]). Not authorized by any candidate or candidate’s committee.",North Carolina Democrats,,Democratic Party,,,https://www.ncdp.org/,12-02-2019,orgs,North Carolina,State Political Party,,2020-10-24,11,Sat,0cbaf85df24c698e4cd76a423b42a139,5a6c5b74191b1e70a9c94d7a820fe4b1,
"Wayne Goodwin, North Carolina Democrats",headquarters@ncdp.org,Make a plan for Election Day,"Polls are open from 6:30AM to 7:30PM tomorrow. Make sure you have a plan to vote!
North Carolina Democratic Party
Friends --
Tomorrow is Election Day. Make sure you have a plan to vote if you haven’t already cast your ballot, because you have the power to shape the future of our state and our country in your hands!
Polls are open from 6:30AM to 7:30PM. Remember that if you are still waiting to vote at 7:30PM, you cannot be turned away, so please stay in line! You must also vote at your assigned polling place -- you can find out where that is here.
If you or anyone you know have questions about voting, call us at our Voter Assistance Hotline: 1-833-VOTE4NC (1-833-868-3462). We have a team of staff and volunteers who are here to help you, because it is so important for all of us to vote in the most critical election of our lifetimes.
This is it, folks. We have already seen a surge in Democratic enthusiasm during early voting, so let’s amplify that energy tomorrow, vote blue up and down the ballot, and flip NC together!
MAKE YOUR VOTING PLAN
I look forward to celebrating our victories with you very soon.
Let’s bring this home,
Wayne
Wayne Goodwin
Chair, North Carolina Democratic Party
P.S. Can you forward this message to three friends and make sure that they also have a plan to vote blue up and down the ballot on Election Day?
North Carolina Democratic Party
P.O. Box 1926
Raleigh, NC 27602
This email was sent to [[EMAIL_REDACTED]] | Communicating with our supporters is critical to the North Carolina Democratic Party’s continued success, and email is one of the best tools we have to do it, but if you'd like to receive only the most important messages, click here. If you wish to unsubscribe you can do so here, however, it will be much harder to stay involved in the organization you have been such a critical member of.
Paid for by the North Carolina Democratic Party ([[URL REDACTED]]). Not authorized by any candidate or candidate’s committee.",North Carolina Democrats,,Democratic Party,,,https://www.ncdp.org/,12-02-2019,orgs,North Carolina,State Political Party,,2020-11-02,18,Mon,779b046b588b757dc3c87835796bf059,5a6c5b74191b1e70a9c94d7a820fe4b1,
"Tom Perez, North Carolina Democrats",headquarters@ncdp.org,Join me and Governor Cooper in Charlotte:,"I'm excited to join Governor Cooper in Charlotte on February 29 for the Blue NC Celebration.
North Carolina Democratic Party
As a dedicated North Carolina Democrat, you’re a key part of the DNC’s 2020 strategy, Friend. I mean it when I say we cannot win in November without winning big in battleground states like yours.
That’s why I’m excited to join Governor Cooper in Charlotte on February 29 for the Blue NC Celebration -- and talk about our path to victory in 2020! Can I count on you to be there?
GET YOUR TICKETS
Here’s the truth: Donald Trump won your state. Folks at your state party and right here at the Democratic National Committee are working every day to make sure that doesn’t happen again.
We’re putting organizers on the ground, investing in an ironclad data warehouse, and making North Carolina a top priority in this election. But we can’t do it without supporters like you to power the state party.
Get your tickets today to join me, Governor Cooper, and hundreds of North Carolina Democrats at the Blue NC Celebration in Charlotte to learn more about our plans to take back this country.
I am fired up to be in this fight with you,
Tom
Tom Perez
Chair
Democratic National Committee
P.S. The national and state parties are investing in you. Together we are fighting to elect Democrats in North Carolina -- but the success of that fight rests on your support of events like these. Grab your tickets, power the fight, and RSVP to join me in Charlotte.
North Carolina Democratic Party
P.O. Box 1926
Raleigh, NC 27602
This email was sent to [[EMAIL_REDACTED]] | Communicating with our supporters is critical to the North Carolina Democratic Party’s continued success, and email is one of the best tools we have to do it, but if you'd like to receive only the most important messages, click here. If you wish to unsubscribe you can do so here, however, it will be much harder to stay involved in the organization you have been such a critical member of.
Paid for by the North Carolina Democratic Party ([[URL REDACTED]]). Not authorized by any candidate or candidate’s committee.",North Carolina Democrats,,Democratic Party,,,https://www.ncdp.org/,12-02-2019,orgs,North Carolina,State Political Party,,2020-01-23,14,Thu,66558fdd44148502aacb510376702c8e,5a6c5b74191b1e70a9c94d7a820fe4b1,
"Cal Cunningham, North Carolina Democrats",headquarters@ncdp.org,Can you join me on Monday?,"Democrats need 4 seats to take back the U.S. Senate -- and one thing's for certain: North Carolina is one of them.
North Carolina Democratic Party
Senator Thom Tillis cares more about his corporate backers than the people of North Carolina. From voting to gut protections for people with pre-existing conditions and blocking Medicaid expansion, to passing tax bills in Raleigh and Washington that reward the wealthiest and corporations while leaving North Carolinians further behind, he’s written the book on caving to corporate special interests.
We are doing all we can to put this seat back to work for North Carolinians again this year -- but we need your help. That’s why I wanted to reach out personally and ask if you’ll take the time to chat with me!
Next Monday, I’m sitting down with NCDP Executive Director Meredith Cuomo and Democrats across the state to talk about our chance to flip the US Senate and elect Democrats up and down the ballot. Can I count on you to join me?
SAVE YOUR SPOT
Democrats need 4 seats to take back the U.S. Senate -- and one thing’s for certain: North Carolina is one of them. All eyes are going to be on us, and I’m counting on your help.
As your next U.S. Senator, I will fight to ensure we give a voice to all North Carolinians. Join me to talk about the work ahead next Monday.
Hope to see you then,
Cal
Cal Cunningham
Democratic Nominee for U.S. Senate
\-------- Forwarded message --------
From: North Carolina Democrats
Date: Thurs, July 2, 2020
Subject: Cocktails with our next US Senator
Grab a drink with our next US Senator at
Cocktails with Cal
LOAD PICTURES
On July 13th we're hosting a virtual happy hour with Cal Cunningham and our Executive Director Meredith Cuomo!
SAVE YOUR SPOT to have a drink, share a laugh, and learn more about our plans to
defeat Senator Thom Tillis and Republicans statewide!
##  [[URL REDACTED]]
North Carolina Democratic Party
P.O. Box 1926
Raleigh, NC 27602
This email was sent to [[EMAIL_REDACTED]] | Communicating with our supporters is critical to the North Carolina Democratic Party’s continued success, and email is one of the best tools we have to do it, but if you'd like to receive only the most important messages, click here. If you wish to unsubscribe you can do so here, however, it will be much harder to stay involved in the organization you have been such a critical member of.
Paid for by the North Carolina Democratic Party ([[URL REDACTED]]). Not authorized by any candidate or candidate’s committee.",North Carolina Democrats,,Democratic Party,,,https://www.ncdp.org/,12-02-2019,orgs,North Carolina,State Political Party,,2020-07-09,18,Thu,ebf89edb2ae100ebe8960869dddea63c,5a6c5b74191b1e70a9c94d7a820fe4b1,
North Carolina Democrats,headquarters@ncdp.org,"When North Carolinians vote, Democrats win ✅","Tomorrow is your last chance to early vote! Make a plan to cast your ballot and help us spread the word.
North Carolina Democratic Party
We have 4 days left to bring this victory home, y'all. Every vote counts -- please use yours to elect North Carolina Democrats up and down the ballot! Make your plan to early vote right now if you haven’t voted already. To cast your ballot in person, you can:
* Early vote today or tomorrow: Visit any early voting site in your county to cast your ballot through Saturday, October 31st (tomorrow)! Find early voting sites and hours of operation HERE. If you aren’t registered at your current address, this is your last chance to same-day register and vote.
*Note - We strongly recommend dropping your completed absentee ballot off in-person at an early voting site if you have not already mailed it.
* Vote on Election Day: If you choose to wait until Tuesday, polling places will be open from 6:30 a.m. to 7:30 p.m. Find your assigned polling place HERE. Any voter in line at their assigned polling place at 7:30 p.m. will be able to vote -- so stay in line!
Millions of North Carolinians have already voted, but there’s still time to cast your ballot during early voting or on Election Day. Please make a plan to vote and ask your friends and family to do the same. Can you forward this email to three people to make sure they have made a plan to vote?
We’re counting on you to vote and mobilize your local community! Because when we turn out more North Carolina voters, Democrats win!
MAKE YOUR VOTING PLAN
Thanks for making your voice heard and voting for a better future in this election.
North Carolina Democrats
P.S. If you or anyone you know have questions about voting, call us at our Voter Assistance Hotline: 1-833-VOTE4NC. Our team is here to help you!
North Carolina Democratic Party
P.O. Box 1926
Raleigh, NC 27602
This email was sent to [[EMAIL_REDACTED]] | Communicating with our supporters is critical to the North Carolina Democratic Party’s continued success, and email is one of the best tools we have to do it, but if you'd like to receive only the most important messages, click here. If you wish to unsubscribe you can do so here, however, it will be much harder to stay involved in the organization you have been such a critical member of.
Paid for by the North Carolina Democratic Party ([[URL REDACTED]]). Not authorized by any candidate or candidate’s committee.",North Carolina Democrats,,Democratic Party,,,https://www.ncdp.org/,12-02-2019,orgs,North Carolina,State Political Party,,2020-10-30,11,Fri,180e2e364e8b73bebe28c31d53fbbeba,5a6c5b74191b1e70a9c94d7a820fe4b1,
"Meredith Cuomo, North Carolina Democrats",headquarters@ncdp.org,✨VOTE TODAY!✨,"Polls are open -- grab a friend, find your voting site, and head to the polls!
North Carolina Democratic Party
Hi NC Democrats!
The polls are officially open for the primary and I want to make sure you have everything you need to go vote with confidence!
Some great Democratic candidates have stepped up to run for office -- from the school board to the US Senate to the White House. It’s up to you to choose which of them will be on the ballot in 2020 and represent your community in this pivotal election.
So don’t sit this one out: meet your candidates and find your polling place -- then take a friend and go vote!
MEET YOUR CANDIDATES
FIND YOUR POLLING PLACE
Our democracy is strongest when we all vote. North Carolina Democrats are committed to providing resources to help everyone navigate the process. If you have any questions about voting, call our toll-free Voter Assistance hotline at 1-833-VOTE4NC. And remember, you do NOT need an ID to go vote in the primary.
Grab three friends and go get in line by 7:30 pm! See you at the polls!
Meredith
Meredith Cuomo
Executive Director
North Carolina Democratic Party
P.S. Forward this email to three friends so they know it’s time to go vote, too!
North Carolina Democratic Party
P.O. Box 1926
Raleigh, NC 27602
This email was sent to [[EMAIL_REDACTED]] | Communicating with our supporters is critical to the North Carolina Democratic Party’s continued success, and email is one of the best tools we have to do it, but if you'd like to receive only the most important messages, click here. If you wish to unsubscribe you can do so here, however, it will be much harder to stay involved in the organization you have been such a critical member of.
Paid for by the North Carolina Democratic Party ([[URL REDACTED]]). Not authorized by any candidate or candidate’s committee.",North Carolina Democrats,,Democratic Party,,,https://www.ncdp.org/,12-02-2019,orgs,North Carolina,State Political Party,,2020-03-03,07,Tue,1ec953acd220e838cb1193b028ccc88c,5a6c5b74191b1e70a9c94d7a820fe4b1,
North Carolina Democrats,headquarters@ncdp.org,Tonight's debate,"Show your support for Joe before the first presidential debate
North Carolina Democratic Party
Team --
Joe Biden will face Donald Trump on the debate stage tonight, and North Carolinians will see that our choice for the next President of the United States couldn’t be starker.
Biden will speak directly to the American people and lay out his vision for building our country back better. In contrast, Trump’s deceits, tax evasion, and mismanagement of the pandemic and our economy will be on full display.
Control of the White House, U.S. Senate, and the Supreme Court could all hinge on North Carolina, so we have to ask:
Ahead of the debate, will you pitch in $15 now to help us fight back?
With your support, we can block Trump’s path to a second term and elect leaders at every level of government who will actually serve the people of North Carolina. Tomorrow’s quarterly deadline is one of our last chances before the election to show that our state is ready to send Trump and his Republican enablers packing.
If you've saved your payment information with ActBlue Express, your donation will go through immediately.
EXPRESS DONATE: $15
EXPRESS DONATE: $25
EXPRESS DONATE: $45
EXPRESS DONATE: $100
EXPRESS DONATE: $250
EXPRESS DONATE: $500
Or donate another amount.
North Carolina is the battleground for the soul of our nation, and we’ve got to make every day between now and November 3rd count. Your support before tonight’s debate and tomorrow’s deadline will ensure our candidates are ready to power through these final 35 days.
Thank you for investing in this fight,
North Carolina Democrats
North Carolina Democratic Party
P.O. Box 1926
Raleigh, NC 27602
This email was sent to [[EMAIL_REDACTED]] | Communicating with our supporters is critical to the North Carolina Democratic Party’s continued success, and email is one of the best tools we have to do it, but if you'd like to receive only the most important messages, click here. If you wish to unsubscribe you can do so here, however, it will be much harder to stay involved in the organization you have been such a critical member of.
Paid for by the North Carolina Democratic Party ([[URL REDACTED]]). Not authorized by any candidate or candidate’s committee.",North Carolina Democrats,,Democratic Party,,,https://www.ncdp.org/,12-02-2019,orgs,North Carolina,State Political Party,,2020-09-29,17,Tue,b029c8c7f3f3d6b37ca9d16350c49f2d,5a6c5b74191b1e70a9c94d7a820fe4b1,
"Robert Howard, North Carolina Democrats",headquarters@ncdp.org,Tell Tillis: Americans deserve a fair trial,"Trials have witnesses and evidence. Cover-ups don't.
North Carolina Democratic Party
Just last week, Senator Thom Tillis took this oath to be a fair judge:
LOAD PICTURES
But day one of the trial revealed he wouldn’t stick to it. Instead of trying to get to the truth, Tillis is standing with Mitch McConnell and staging a cover-up by refusing to call any witnesses or hear any evidence.
LOAD PICTURES
Trials have witnesses and evidence. Cover-ups don't. It’s clear that Senator Thom Tillis is engaging in a cover-up -- not a fair trial -- and is keeping us all in the dark to protect his own skin.
Democrats are fighting back and holding him accountable for failing our state and country -- and we need your help. Add your name to demand Senator Tillis hold a fair trial, instead of Mitch McConnell’s sham cover-up.
ADD YOUR NAME
I know we can kick Tillis out of office this year, because of folks like you who are willing to speak out.
Thanks for being in this with us,
Robert
Robert Howard
Communications Director
North Carolina Democratic Party
North Carolina Democratic Party
P.O. Box 1926
Raleigh, NC 27602
This email was sent to [[EMAIL_REDACTED]] | Communicating with our supporters is critical to the North Carolina Democratic Party’s continued success, and email is one of the best tools we have to do it, but if you'd like to receive only the most important messages, click here. If you wish to unsubscribe you can do so here, however, it will be much harder to stay involved in the organization you have been such a critical member of.
Paid for by the North Carolina Democratic Party ([[URL REDACTED]]). Not authorized by any candidate or candidate’s committee.",North Carolina Democrats,,Democratic Party,,,https://www.ncdp.org/,12-02-2019,orgs,North Carolina,State Political Party,,2020-01-21,20,Tue,67e9b9ed0a3f2296d5eec0d71e03b94b,5a6c5b74191b1e70a9c94d7a820fe4b1,
North Carolina Democrats,headquarters@ncdp.org,200 days of resistance,"Look inside for your April 17th Election Update.
ELECTION UPDATE
We've only got 200 days to defeat Thom Tillis
Here's the good news: A new poll released just yesterday shows he's trailing Cal by 7 points!
Here's the bad news: Mitch McConnell and his Republicans allies are dumping millions into NC to prop up their failing candidate
With only 200 days to go, we need early grassroots supporters to help us keep pace
If you're able, can you pitch in to help us defeat Thom Tillis and Republicans statewide? DONATE
If you've saved your payment information with ActBlue Express, your donation will go through immediately.
EXPRESS DONATE: $10
EXPRESS DONATE: $25
EXPRESS DONATE: $50
EXPRESS DONATE: $100
EXPRESS DONATE: $200
Or donate another amount.
Paid for by the North Carolina Democratic Party ([[URL REDACTED]]) and not authorized by any candidate or candidate’s committee.
This email was sent to [[EMAIL_REDACTED]] | Communicating with our supporters is critical to the North Carolina Democratic Party’s continued success, and email is one of the best tools we have to do it, but if you'd like to receive only the most important messages, click here. If you wish to unsubscribe you can do so here, however, it will be much harder to stay involved in the organization you have been such a critical member of.",North Carolina Democrats,,Democratic Party,,,https://www.ncdp.org/,12-02-2019,orgs,North Carolina,State Political Party,,2020-04-17,13,Fri,4f7ddd0c46387b3948a62f587fdca31f,5a6c5b74191b1e70a9c94d7a820fe4b1,
North Carolina Democrats,headquarters@ncdp.org,NC Democrat's official invitation,"Join Governor Cooper at our first-ever Blue NC Celebration in Charlotte!
We're kicking off 2020 right with our first-ever
BLUE NC CELEBRATION
Join us in Charlotte on February 29 to see Governor Roy Cooper
Cheif Justice Cheri Beasley and Secretary of State Elaine Marshall
Get your tickets and be one of the first to know who our exciting special guest speaker is!
We'er announcing next week, stay tuned!
##  [[URL REDACTED]]
Paid for by the North Carolina Democratic Party ([[URL REDACTED]]) and not authorized by any candidate or candidate’s committee.
This email was sent to [[EMAIL_REDACTED]] | Communicating with our supporters is critical to the North Carolina Democratic Party’s continued success, and email is one of the best tools we have to do it, but if you'd like to receive only the most important messages, click here. If you wish to unsubscribe you can do so here, however, it will be much harder to stay involved in the organization you have been such a critical member of.",North Carolina Democrats,,Democratic Party,,,https://www.ncdp.org/,12-02-2019,orgs,North Carolina,State Political Party,,2020-01-09,12,Thu,b491c38d03fdd5c1bc8e2b0ddbc91562,5a6c5b74191b1e70a9c94d7a820fe4b1,
North Carolina Democrats,headquarters@ncdp.org,Friends: The road to the White House is Carolina Blue →,"There are only 75 days left until the most important election of our lifetimes -- and North Carolina is going to play a critical role in determining the outcome, so I have to ask: will you pitch in $1
North Carolina Democratic Party
Earlier this week, Chair Wayne Goodwin unveiled the Carolina Blue Road initiative -- and the response from this team has been incredible! People from across our state and country recognize that North Carolina is absolutely essential to taking back the White House and electing Democrats. Governor Roy Cooper even joined in.
LOAD STICKER
And that’s not all. Secretary Julián Castro, Debra Messing, Bradley Whitford, Clay Aiken, NC Senator Natasha Marcus, Councilman Braxton Winston -- they all stepped up to spread the word and chip in.
LOAD STICKER
Because the truth is, the road to the White House is Carolina Blue. If our state flips, there is no path to victory for Donald Trump. We can be the state that stops him and puts our country back on the right track with Democratic leadership -- but we need your help.
There are only 75 days left until the most important election of our lifetimes -- and North Carolina is going to play a critical role in determining the outcome, so I have to ask:
Can you join powerful Democrats like Governor Cooper, Secretary Castro, and grassroots donors by becoming an official member of the Carolina Blue Road team?
If you've saved your payment information with ActBlue Express, your donation will go through immediately.
EXPRESS DONATE: $10
EXPRESS DONATE: $25
EXPRESS DONATE: $50
EXPRESS DONATE: $100
EXPRESS DONATE: $200
Or donate another amount.
Thanks for fighting with us,
North Carolina Democrats
\-------- Forwarded message --------
From: Wayne Goodwin, North Carolina Democrats
Date: Tues, August 18, 2020
Subject: The road to the White House is Carolina Blue!
Friend --
The road to the White House is Carolina Blue. No Republican has won the Presidency without North Carolina since 1956. This year, we’re the most important battleground state in the nation -- and we can block Trump’s path to victory.
Can you pitch in $15 to ditch 45 and elect Democrats up and down the ballot? With just 77 days until the election, we’re counting on your help to turn Carolina Blue.
The Road to the White House is Carolina Blue
The fate of our country runs through the Tar Heel State -- from the White House to the US Senate to the General Assembly. North Carolina is the battleground in the battle for the soul of our nation, and we’re ready to fight for every last vote. But we can’t do this without you.
Your contribution today will directly fund Democrats’ path to victory in North Carolina. Together, we can keep up the momentum to turn our state blue in November.
If you've saved your payment information with ActBlue Express, your donation will go through immediately.
EXPRESS DONATE: $10
EXPRESS DONATE: $25
EXPRESS DONATE: $50
EXPRESS DONATE: $100
EXPRESS DONATE: $200
Or donate another amount.
Thanks for standing with us in this fight!
Onward,
Wayne
Wayne Goodwin
Chair
North Carolina Democratic Party
P.S. We need your help to spread the word about the importance of winning in North Carolina. Can you help us by retweeting our post? It's already gotten a lot of traction!
North Carolina Democratic Party
P.O. Box 1926
Raleigh, NC 27602
This email was sent to [[EMAIL_REDACTED]] | Communicating with our supporters is critical to the North Carolina Democratic Party’s continued success, and email is one of the best tools we have to do it, but if you'd like to receive only the most important messages, click here. If you wish to unsubscribe you can do so here, however, it will be much harder to stay involved in the organization you have been such a critical member of.
Paid for by the North Carolina Democratic Party ([[URL REDACTED]]). Not authorized by any candidate or candidate’s committee.",North Carolina Democrats,,Democratic Party,,,https://www.ncdp.org/,12-02-2019,orgs,North Carolina,State Political Party,,2020-08-20,17,Thu,29e8a60939326f4b32502868870504a7,5a6c5b74191b1e70a9c94d7a820fe4b1,
North Carolina Democrats,headquarters@ncdp.org,Help us celebrate Women's History Month,"Strong democratic women across North Carolina are running to make history in 2020. Help us support them >>
In honor of Women's History Month, check out a few of the NC Democrats running to make history in 2020:
Chief Justice Cheri Beasley | Secretary of State Elaine Marshall | Our female Congressional slate | Jessica Holmes and Rep. Yvonne Holley
LOAD PICTURES
Help us send these women to office! Pitch in $10 or more today so we can give candidates up and down the ticket the support they need to win in 2020
DONATE
If you've saved your payment information with ActBlue Express, your donation will go through immediately.
EXPRESS DONATE: $10
EXPRESS DONATE: $25
EXPRESS DONATE: $50
EXPRESS DONATE: $100
EXPRESS DONATE: $200
Or donate another amount.
Paid for by the North Carolina Democratic Party ([[URL REDACTED]]) and not authorized by any candidate or candidate’s committee.
This email was sent to [[EMAIL_REDACTED]] | Communicating with our supporters is critical to the North Carolina Democratic Party’s continued success, and email is one of the best tools we have to do it, but if you'd like to receive only the most important messages, click here. If you wish to unsubscribe you can do so here, however, it will be much harder to stay involved in the organization you have been such a critical member of.",North Carolina Democrats,,Democratic Party,,,https://www.ncdp.org/,12-02-2019,orgs,North Carolina,State Political Party,,2020-03-17,13,Tue,62a178e0e03420850e0835ea953e3584,5a6c5b74191b1e70a9c94d7a820fe4b1,
