from_name,from_address,subject,body_text,name,office_sought,party_affiliation,office_level,district_type,final_website,crawl_date,source,state,type,subtype,date,hour,day,uid_email,uid_inbox,incumbent
ND GOP,jwilson@lincoln-strategy.com,ND GOP: Please Confirm Subscription ,"# ND GOP
## Please Confirm Subscription
Yes, subscribe me to this list.
If you received this email by mistake, simply delete it. You won't be subscribed if you don't click the confirmation link above.
For questions about this list, please contact:
[[URL REDACTED]]
Email Marketing Powered by Mailchimp",North Dakota Republicans,,Republican Party,,,https://ndgop.org/,12-02-2019,orgs,North Dakota,State Political Party,,2019-12-03,04,Tue,c5454c8106f0dcd8349e76b41f0d0919,1988b0e540d24f00a7d7e06d86d7353a,
(PRESS) North Dakota Democratic-NPL,people@demnpl.com,Burgum Caved on Public Health Order Within Hours; Already Brushed off Paid Leave,"Burgum Caved on Public Health Order Within Hours; Already Brushed off Paid Leave  View this email in your browser
FOR IMMEDIATE RELEASE:
September 25, 2020
CONTACT:
Alex Rohr
Communications Director
[[URL REDACTED]]
434-473-1891
Burgum Caved on Public Health Order Within Hours; Already Brushed off Paid Leave
BISMARCK, ND — Gov. Burgum’s administration made it a day before rescinding an order that would require close contacts of those who have tested positive for COVID-19 to quarantine. The original order brought North Dakota in line with Center for Disease Control and Prevention guidelines. The state is facing our worst week of COVID-19 outbreaks yet, and leads the nation in per capita cases.
The order was rescinded at the request of North Dakota Republican legislative leaders. Burgum’s refusal to listen to public health experts has cost him two top public health officials since the pandemic began. Earlier this year, Gov. Burgum and Republican leadership also dismissed calls for an Emergency Paid Leave program that would make it financially feasible for North Dakotans to quarantine when necessary.
Rep. Gretchen Dobervich, Chair of the Dem-NPL House Caucus, and a public health professional said:
“This rollback further confuses what exactly the governor expects North Dakotans to do to reduce the surge of COVID-19 across our state and further politicizes a deadly public health crisis. Quarantine, isolation, and physical distancing are centuries-old, evidence-based, public health strategies that reduce risk of infection. We introduced emergency paid leave and other proposals to make it possible for North Dakotans to quarantine without sacrificing their financial stability. Gov. Burgum and the NDGOP shot them down without consideration. COVID-19 is real, serious, and preventable. For the sake of our lives and livelihoods, it is time the governor and Republican leadership treat it that way.”
The Democratic-NPL Party Chairwoman Kylie Oversen said:
“For just a moment, Gov. Burgum indicated he was willing to take advice from public health experts as North Dakota suffers through our worst COVID-19 week yet. But in only a few hours, he caved to just a bit of criticism. His governing is becoming erratic at a time when North Dakotans need clarity and transparency, so we can make the best decisions for our families and communities. Dem-NPL legislators offered solutions like emergency paid leave to make quarantine more viable for North Dakotans, but he ignored them. These guidelines came from the CDC, not from either party, and finding solutions shouldn’t be partisan either.”
###
Twitter
[[URL REDACTED]]
Website
Copyright © 2020 Dem-NPL Party, All rights reserved.
Our mailing address is:
[[URL REDACTED]]
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",North Dakota Democrats,,Democratic Party,,,https://demnpl.com/,12-02-2019,orgs,North Dakota,State Political Party,,2020-09-25,16,Fri,c5e9ae01f32bd4e1e36be2fe1722923d,e5e003207a07ff6eb1346da200039ddb,
(PRESS) North Dakota Democratic-NPL,people@demnpl.com,Dem-NPL Statement on Emergency Commission's Covid-19 Spending Votes,"Dem-NPL Statement on Emergency Commission's Covid-19 Spending Votes View this email in your browser
FOR IMMEDIATE RELEASE:
May 12, 2020
CONTACT:
Alex Rohr
Communications Director
[[URL REDACTED]]
434-473-1891
Dem-NPL Statement on Emergency Commission's Covid-19 Spending Recommendations
BISMARCK, ND — The Emergency Commission held a specially scheduled meeting Tuesday to make recommendations on more than $524 million in CARES Act money to the Office of Management and Budget as well as millions in other federal money and expenditures. The Legislative Budget Section committee will vote on the allocation on Friday. North Dakota is receiving more than $1.25 billion in federal covid-19 relief funding.
House Minority Leader Josh Boschee and Senate Minority Leader Joan Heckaman, both members of the Budget Section, released the following statements:
House Minority Leader Josh Boschee said:
“We support the commission’s recommendation because we know public employees need funding now and we support the work they’re doing to manage the crisis. But when North Dakota spends hundreds of millions of dollars, we need to ensure the public is able to provide input as part of the process, so we can have a relief plan that works for all North Dakotans. We need to take care of our small businesses and employers, but workers and families are the foundation of our communities and economy.”
Senate Minority Leader Joan Heckaman said:
“The reason we have three branches of government is to hold each other accountable. The reason we have local representatives from every county, town, and city is because each one has different needs and deserves a voice speaking on their behalf. Many small and regional nonprofits and agencies are doing a lot of work they wouldn't normally do, and they also should be at the table. More than a billion dollars in federal money requires greater and earlier input and transparency, so it’s allocated equitably.”
###
Twitter
[[URL REDACTED]]
Website
Copyright © 2020 Dem-NPL Party, All rights reserved.
Our mailing address is:
[[URL REDACTED]]
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",North Dakota Democrats,,Democratic Party,,,https://demnpl.com/,12-02-2019,orgs,North Dakota,State Political Party,,2020-05-12,16,Tue,9bfa829b36fbba75db1df1ac4415cdc1,e5e003207a07ff6eb1346da200039ddb,
(PRESS) North Dakota Democratic-NPL,people@demnpl.com,Drive-In with Biden Watch Party Brings Dem-NPLers Together During COVID-19,"Drive-In with Biden Watch Party Brings Dem-NPLers Together During COVID-19 View this email in your browser
PRESS ADVISORY:
August 19, 2020
CONTACT:
Alex Rohr
Communications Director
[[URL REDACTED]]
434-473-1891
Drive-In with Biden Watch Party Brings Dem-NPLers Together During COVID-19
BISMARCK, ND — The North Dakota Democratic-NPL Party will host a Drive-in Watch Party Thursday as former Vice President Joe Biden headlines the Democratic National Convention. The Democratic National Convention programming will be broadcast on a “drive-in” screen at the Red River Valley Fairground, bringing Dem-NPLers together while maintaining physical distancing practices. Dem-NPL statewide candidates will speak briefly at 7:45 p.m. prior to to the broadcast and will be available to press upon request.
What: Joe Biden accepts the Democratic nomination for president, broadcast on the ""drive-in"" screen.
Where: Red River Valley Fairgrounds
When: Thursday, August 20, 7:30 p.m.-10 p.m.
Who: Hosted by the Dem-NPL, Open to the Public
COVID-19 Precautions
Attendees are strongly urged to stay in their vehicles except when purchasing food or using the restrooms and are strongly urged to wear a mask when they are out of their vehicles. We encourage Dem-NPLers to arrive by 7:30 p.m. for “Fair Food Thursday” before the show starts! Vendors will close down at 8pm.
North Dakota Dem-NPL Statewide Candidates attending:
Dr. Shelley Lenz for Governor, Zach Raknerud for Congress, Patrick Hart for State Auditor, Mark Haugen for Treasurer, and Casey Buchmann for Public Service Commission.
For Press Planning to Attend
Due to efforts to promote physical distancing, press must RSVP through Dem-NPL Communications Director Alex Rohr at [[URL REDACTED]], who can also help arrange interviews with statewide candidates.
###
Twitter
[[URL REDACTED]]
Website
Copyright © 2020 Dem-NPL Party, All rights reserved.
Our mailing address is:
[[URL REDACTED]]
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",North Dakota Democrats,,Democratic Party,,,https://demnpl.com/,12-02-2019,orgs,North Dakota,State Political Party,,2020-08-19,10,Wed,19ae3d3af5cd96baf718b3292eb0895f,e5e003207a07ff6eb1346da200039ddb,
(PRESS) North Dakota Democratic-NPL,people@demnpl.com,Dem-NPL Virtual Convention Endorses Six For Statewide Office,"Dem-NPL Virtual Convention Endorses Six For Statewide Office View this email in your browser
FOR IMMEDIATE RELEASE:
March 21, 2020
CONTACT:
Alex Rohr
Communications Director
[[URL REDACTED]]
434-473-1891
Dem-NPL Virtual Convention Endorses Six For Statewide Office
BISMARCK, ND — With virtual voting open from 8 a.m. to 1 p.m. Saturday, the Democratic-NPL Party endorsed a slate of six candidates for statewide office as well as several party positions, including DNC Committeewoman and Committeeman.
Only 10 days ago, the Dem-NPL announced the state party would cancel it’s in-person convention as part of the public health movement responding to the covid-19 virus and pandemic. Shortly after, Dem-NPL leadership and staff got to work transitioning to online events, such as virtual town halls, video addresses, social media engagement, and other forms of digital campaigning.
Endorsements for Public Office
Governor: Shelley Lenz
Congress: Zach Raknerud
State Treasurer: Mark Haugen
State Auditor: Patrick Hart
Public Service Commission: Casey Buchmann
Insurance Commissioner: Travisia Martin
(An address from each candidate is available online at [[URL REDACTED]])
Voting kicked off Saturday with a live introduction from Chairwoman Kylie Oversen
“This has been quite an adventure of a week trying to navigate this new world we’re living in right now, and trying to find ways that we as Democrats, and really as North Dakotans, and Americans can all stay connected during this pandemic crisis and still engage in the business that is required of us.”
Oversen continued
“We know that especially during times of crisis like we’re in right now, having strong and steady leadership is so important. And the Dem-NPL is so proud to put forward a slate of candidates who are competent and talented and smart, and who are connected to their communities. They are excited to get to work for all of you representing this great state of North Dakota.”
Sen. Heidi Heitkamp recorded an address for the event as well
“Now more than ever it is crucial to be active and involved and willing to put the work in for our statewide and legislative candidates. As a many time former candidate, I know that the support of fellow Dem-NPLers and everyday North Dakotans always meant the world to me. We can in fact turn this around. We can in fact be part of solutions for our country, but we have to work for it.”
Elected as DNC representatives
DNC Committeewoman: Ruth Buffalo
DNC Committeeman: Josh Boschee
###
Twitter
[[URL REDACTED]]
Website
Copyright © 2020 Dem-NPL Party, All rights reserved.
Our mailing address is:
[[URL REDACTED]]
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",North Dakota Democrats,,Democratic Party,,,https://demnpl.com/,12-02-2019,orgs,North Dakota,State Political Party,,2020-03-21,15,Sat,d2659cf7decc6dd1a5da7a4231ecda24,e5e003207a07ff6eb1346da200039ddb,
DemNPL Newsletter,people@demnpl.com,Dem-NPL Insider,"View this email in your browser
The Dem-NPL Insider
Welcome to the North Dakota Democratic-NPL Insider, a newsletter that will feature regular updates about the 2020 campaign and candidates. We have an incredible slate of candidates running up and down the ballot across North Dakota, and we're excited about helping you get to know them better. Meet our Statewide candidates here!
* * *
Coming Up
Learn about events and activities where you can meet with candidates, greet with Dem-NPLers, and show your support for 2020 campaigns.
Drive-In With Biden Watch Party
Thursday, August 20: Join us for a socially distanced “Watch Party” as we celebrate Joe Biden accepting the nomination for President. Our Dem-NPL statewide candidates will kick-off the event at 7:45 pm. Come early to grab some goodies from “Fair Food Thursday.” More info here and tickets here.
Zach Raknerud for North Dakota Southeast Tour
August 21 - 23: This weekend, Dem-NPL congressional candidate Zach Raknerud will be concluding his series of outdoor, socially distant Meet and Greets throughout the state by touring the Southeast corner of North Dakota. Communities he will visit include Fargo, Hillsboro, Wahpeton, Lisbon, Hazelton, Jamestown, and joining the D24 Democratic-NPL Summer Picnic and Fundraiser in Valley City. Find more information for each event here.
Mark Haugen for State Treasurer Meet and Greets
August 22 - 23: Join Dem-NPL State Treasurer candidate Mark Haugen as he hosts several Meet and Greets, one on Saturday, August 22 in Grand Forks at 4PM and one on Sunday, August 23 in Fargo at 4PM. Come for a casual evening of discussion and fun! Light refreshments will be provided, and good conversation will be had by all. Learn more here.
District 12 Dem-NPL to Hold Drive By ""Dinner in the Park""
District 12 Dem-NPL candidates Sen. John Grabinger, George Barnes, and Pam Musland will be hosting a drive by ""Dinner in the Park"" event this Thursday, August 20 from 5PM-7PM at McElroy Park in Jamestown. Come and enjoy a pork steak dinner, with proceeds from the event going to benefit the candidates. Read more here.
* * *
Top North Dakota News
Read what North Dakotans are talking about and learn more about Dem-NPL candidates and campaigns.
Jim Kasper Makes Racist, Sexist Facebook Posts, Blames Hacker - Again
District 46 House member Jim Kasper recently shared memes on Facebook that called Sen. Kamala Harris, the Democratic nominee for Vice President, a ""hoe."" His shares also include confused and bigoted posts about slavery and race. His Dem-NPL opponents, Ben M. Hanson and Ben W. Hanson, condemned his remarks. To get Kasper out of office, donate to the District 46 team here. Read more about Kasper's post here.
Raknerud and Dem-NPL Confront NoDak Delegation for Inaction on USPS
Over the weekend, Sen. Hoeven, Sen. Cramer, and Rep. Armstrong, defended President Trump's comments threatening to sabotage the United States Postal Service to limit mail-in voting.
Dem-NPL congressional candidate Zach Raknerud said, ""I wholeheartedly condemn President Trump's actions to slow (USPS) services and holding out relief funding for partisan reasons [...] Too many veterans in rural North Dakota rely on the Postal Service to deliver life-saving medication on time and at low cost. That's exactly what the USPS has done for generations."" Read more here. USPS recently gave North Dakota a ""heightened warning"" for possible delays related to mail-in ballots. Dem-NPL Chairwoman Kylie Oversen called on our delegation to stop playing the blame game and address the crisis. Read more here.
Download and post this social media shareable to help protect USPS!
Dem-NPL Legislators and Candidates Condemn Closed Door CARES Act Process
As the Legislative Budget Section approved the last of $1.25 billion in COVID-19 relief, Democratic-NPL legislators and candidates condemned the six-member Emergency Commission for administering a closed-door process that left workers and families behind and more than 200,000 North Dakotans unrepresented. Read more here.
Dem-NPL House Minority Leader Josh Boschee said, “This process was developed to receive tens of thousands, hundreds of thousands, a couple of million dollars at a time as budgets changed at the federal level came through. But we’re talking about $1.25 billion. Today it’s $319 million that we have an up-and-down vote on.” Melissa Gjellstad, District 42 Senate candidate said, “To our core issue: how this process has happened and how we can do better for North Dakotans in the future is, I think, the focus."" Read more here.
Kari Breker, Dem-NPL Senate candidate in District 16, which went unrepresented throughout the process, said, “There should have been an emergency legislative session to decide where this money should go. I think bringing everybody to the table instead of six white, affluent men making those decisions, we should have brought way more people to represent everybody in the state.” Read more here.
District 46 House candidate Ben W. Hanson criticized the lack of engagement or clarity from the Emergency Commission, explaining in an interview how the process has not been transparent or public. Hanson's district went unrepresented in the process, and he called for a special session early on. Listen here.
District 4 Senate candidate Lisa Finley-DeVille said: ""It's time for a bottom up approach, meaning give the power back to the people. Too few people are getting a say, and the people of our district deserve a voice. Not one legislator from District 4 spoke up for the people who need assistance and protection the most. Not one of them."" Read more here.
Social Security Turned 85 and Faces Attacks from Trump, Silence From Armstrong
Over 135,000 North Dakotans receive Social Security payments, with many recipients dependent on the program for their income. President Trump's recent promise to eliminate the payroll taxes that fund the program have made many senior citizens who rely on the program fear for the future. Read more here. While Sen. Kevin Cramer has favored cuts to Social Security, Rep. Kelly Armstrong is still silent. Read more here.
* * *
# Legislative Caucus and Candidates
Get to know our legislative candidates and the Dem-NPL House and Senate Caucus Priorities! Find the list of candidates and links to their pages here or donate to the Legislative Victory Fund!
District 16 Dem-NPLers Strive to Represent the Unrepresented
The North Dakota state legislature has a long way to go before every community has true representation. District 16 is running as a team to remedy that.
“If you look in the North Dakota house, whether it is Republican or Democrat or independent, the gender women is not represented well,” said Hamida Dakane, House candidate.
“Hamida, Kari and I will be the voice advocating for our educational system, for our healthcare system, for workers rights, for paid leave,” said Tracey Wilkie for House. Hear more from the candidates here.
Dem-NPL Candidates Stand Up for Public Education
In light of the recent challenges local school districts are facing while planning to open in some capacity while the COVID-19 pandemic continues, Dem-NPL candidates are making support for public education one of their chief priorities. In a campaign video, 22 House candidate Will Thompson said he would work to ensure that school districts have the resources they need to successfully adapt to hybrid and distance learning. Watch here. District 32 Senate candidate Amelia Doll also made clear her support for Bismarck Public Schools decision to begin the school year with a hybrid learning plan to ensure student and staff safety. Read more here.
# Social Media Shareables
Download these social media shareables made by Dem-NPL, campaigns, or advocacy groups, and add your voice on Facebook, Twitter, and Instagram!
Donate to the Dem-NPL!
# Submit Your Campaign Content
To submit District, Candidate, and Campaign events to the Dem-NPL website calendar, please fill out this form.
To submit an article, feature, shareable, or anything else related to 2020 campaigns and candidates, please email Communications Director Alex Rohr at [[URL REDACTED]]
Facebook
Twitter
Instagram
Website
Copyright © 2020 North Dakota Democratic-NPL, All rights reserved.
Our mailing address is:
North Dakota Democratic-NPL
Kennedy Center
1902 E Divide Ave
Bismarck, North Dakota 58501
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",North Dakota Democrats,,Democratic Party,,,https://demnpl.com/,12-02-2019,orgs,North Dakota,State Political Party,,2020-08-19,11,Wed,62e89193698fceacbfff11f85c002cab,e5e003207a07ff6eb1346da200039ddb,
(PRESS) North Dakota Democratic-NPL,people@demnpl.com,"NoDak Sorting Machines Slated for Removal, Armstrong Votes Against USPS","NoDak Sorting Machines Slated for Removal, Armstrong Votes Against USPS View this email in your browser
FOR IMMEDIATE RELEASE:
August 24, 2020
CONTACT:
Alex Rohr
Communications Director
[[URL REDACTED]]
434-473-1891
NoDak Mail Sorting Machines Planned for Removal, Armstrong Votes Against USPS
BISMARCK, ND — As news broke that United States Postal Service sorting machines in Fargo, Grand Forks, and Bismarck were slated for removal, Rep. Kelly Armstrong voted against a bipartisan bill to support USPS and halt the mail slow-down felt nationwide.
Armstrong has both admitted the systemic problems at USPS and brushed off his constituents’ concerns over the removal of sorting machines, elimination of overtime, and other changes causing a mail slow-down. The Postmaster General is a GOP mega donor, and the president has specifically targeted USPS because of mail-in voting, without recognizing it as a necessity for people to receive life-sustaining prescription medication and lifeline for businesses, especially in rural North Dakota.
The Democratic-NPL Party Communications Director Alex Rohr said:
“Despite Rep. Armstrong’s finger-pointing speech before he voted against the bipartisan bill supporting USPS, the Post Office can and will deliver votes from members of both parties this fall. The bill would officially halt the planned removal of mail sorting machines, including the three in Fargo, Grand Forks, and Bismarck, to ensure North Dakotans have access to mail-in voting as an option. USPS shouldn’t be partisan. COVID-19 relief shouldn’t be partisan. But politicians like Rep. Armstrong are refusing to work collaboratively to solve real problems.
We urge voters to request their ballots now, make a plan, and to cast their vote for Zach Raknerud for Congress who won’t let partisanship get in the way of representing you.”
###
Twitter
[[URL REDACTED]]
Website
Copyright © 2020 Dem-NPL Party, All rights reserved.
Our mailing address is:
[[URL REDACTED]]
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",North Dakota Democrats,,Democratic Party,,,https://demnpl.com/,12-02-2019,orgs,North Dakota,State Political Party,,2020-08-24,13,Mon,e15dfe3bcafb04b17b242f3da7abd725,e5e003207a07ff6eb1346da200039ddb,
(PRESS) North Dakota Democratic-NPL,people@demnpl.com,Burgum Oversees Closed CARES Act Process While Dr. Shelley Hosts a Nonpartisan Roundtable,"Burgum Oversees Closed CARES Act Process While Dr. Shelley Hosts a Nonpartisan Roundtable  View this email in your browser
FOR IMMEDIATE RELEASE:
June 18, 2020
CONTACT:
Alex Rohr
Communications Director
[[URL REDACTED]]
434-473-1891
Burgum Oversees Closed CARES Act Process while Dr. Shelley Hosts a Nonpartisan Roundtable
BISMARCK, ND — Today, a group of six Republicans chaired by Gov. Burgum voted to spend $400 million of CARES Act money without any official public input. The group expects to allocate all $1.25 billion of federal money allocated to North Dakota to address the pandemic economy in the same manner. The Legislative Budget Section, which lacks representation for 14 entire districts, will now get an up or down vote.
Tonight, Dr. Shelley Lenz, the Dem-NPL candidate for governor, is hosting a nonpartisan Listening Session intended to gather input from residents all across the state. More information about the event can be found here.
Sen. Tim Mathern said:
“On the same day the governor ignored calls for a transparent legislative session for spending $1.25 billion to address the covid-19 economy, Dr. Shelley invited members of the public to share what they need to get through the pandemic. We need a leader who is listening, not a CEO telling us he knows best.”
###
Twitter
[[URL REDACTED]]
Website
Copyright © 2020 Dem-NPL Party, All rights reserved.
Our mailing address is:
[[URL REDACTED]]
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",North Dakota Democrats,,Democratic Party,,,https://demnpl.com/,12-02-2019,orgs,North Dakota,State Political Party,,2020-06-18,14,Thu,0f49b008aaa83b308f81d84f45c659d2,e5e003207a07ff6eb1346da200039ddb,
(PRESS) North Dakota Democratic-NPL,people@demnpl.com,Historic Native American Caucus Founded within Dem-NPL,"Historic Native American Caucus Founded within Dem-NPL  View this email in your browser
FOR IMMEDIATE RELEASE:
September 14, 2020
CONTACT:
Alex Rohr
Communications Director
[[URL REDACTED]]
434-473-1891
Historic Native American Caucus Founded within Dem-NPL
BISMARCK, ND — This weekend, The North Dakota Democratic-NPL Party State Policy Committee unanimously approved an application to form the Native American Caucus. Prairie Rose Seminole, Dr. Twyla Baker, and Rep. Ruth Buffalo brought the application and are organizing the caucus to build long term political engagement within Indigenous communities and with the Dem-NPL.
All three women are members of the Three Affiliated Tribes. The caucus group is currently more than 40 members who are working on developing a governing structure that includes representation from the Standing Rock Sioux Tribe, Turtle Mountain Band of Chippewa, Three Affiliated Tribes, and the Spirit Lake Nation as well as setting goals for future engagement. The meeting was held virtually Saturday because of COVID-19.
Rep. Ruth Buffalo represents District 27 in Fargo. She is originally from Mandaree and is the Dem-NPL’s DNC National Committeewoman. Buffalo said:
""This has been a long time coming. Diversity will only strengthen relationships across the state to address the issues that not only face our tribal communities, but our rural and urban populations. More native voices in the political landscape of North Dakota only deepens our understanding of one another, and there is value in knowing who our neighbors are and what impact public policy may have.""
Prairie Rose Seminole is a policy analyst at the Indigenous Environmental Network and program manager at Advance Native Political Leadership. She ran for House District 45 in 2010. Seminole said:
“We’re making a space within the Dem-NPL to house and nurture Native leadership in the state and to make introductions to the party and the platforms, but also to encourage our own leadership where Native North Dakotans can potentially run for office or be an organizer. There’s so much capacity in our community, but we need to build trust within the party.”
Dr. Tywla Baker is president of Nueta Hidatsa Sahnish College. Baker said:
""This will be a learning experience for our communities and for the Dem-NPL. There are different practices and approaches to democratic participation, and we want to establish a practice of building leadership beyond voter engagement. In the long term, we want to nurture relationships for strategic, years-long efforts for structural victories that improve peoples' lives and provide value in the political education needed for more relational governance in North Dakota and our tribal people.""
###
Twitter
[[URL REDACTED]]
Website
Copyright © 2020 Dem-NPL Party, All rights reserved.
Our mailing address is:
[[URL REDACTED]]
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",North Dakota Democrats,,Democratic Party,,,https://demnpl.com/,12-02-2019,orgs,North Dakota,State Political Party,,2020-09-14,14,Mon,d20b8ee93295a6eef3bf99170037e193,e5e003207a07ff6eb1346da200039ddb,
(PRESS) North Dakota Democratic-NPL,people@demnpl.com,Burgum Must Refuse Support to Candidates Who Oppose LGBTQ+ Rights,"Burgum Must Refuse Support to Candidates Who Oppose LGBTQ+ Rights View this email in your browser
FOR IMMEDIATE RELEASE:
July 28, 2020
CONTACT:
Alex Rohr
Communications Director
[[URL REDACTED]]
434-473-1891
Gov. Burgum Must Refuse Support to Candidates Who Back Anti-LGBTQ+ Platform
BISMARCK, ND — The NDGOP Executive Committee disavowed an anti-LGBTQ+ portion of the party’s platform Monday only after receiving blowback in the press and from civil rights advocates. Similar language has been in the party platform since 2016 showing a consistent pattern of discrimination and exclusion.
Also, more than 700 North Dakota Republicans voted on this measure and passed it. The names of those individuals have not been made public. Generally, elected officials and candidates are likely to serve as delegates to party committees, so many active NDGOP legislators possibly voted on this measure or support it. As a major donor in his party, Gov. Burgum, and the other executive members, should refuse contributions and any support to any candidate who has not publicly disavowed this hateful platform.
The Democratic-NPL Party Chairwoman Kylie Oversen said:
“Actions speak louder than words, and NDGOP has shown through their actions, or failure to act before public pressure, that many are at best indifferent to LGBTQ+ rights. They made a positive step by denouncing this language, but any dollar spent supporting a candidate who holds these hateful views would completely invalidate their pearl clutching. North Dakotans and LGBTQ+ individuals deserve more than words to know their rights are protected and their lives valued, and we’re calling on the governor and executive committee to show they mean what they say.”
###
Twitter
[[URL REDACTED]]
Website
Copyright © 2020 Dem-NPL Party, All rights reserved.
Our mailing address is:
[[URL REDACTED]]
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",North Dakota Democrats,,Democratic Party,,,https://demnpl.com/,12-02-2019,orgs,North Dakota,State Political Party,,2020-07-28,12,Tue,72fdcb2134f7f98a8f991520f4ab80fd,e5e003207a07ff6eb1346da200039ddb,
