from_name,from_address,subject,body_text,name,office_sought,party_affiliation,office_level,district_type,final_website,crawl_date,source,state,type,subtype,date,hour,day,uid_email,uid_inbox,incumbent
Corey Lewandowski,info@ohiogop.org,Time is almost up  ,"Alex, we’re calling on courageous conservatives like you to step up during this crucial time.
We’re facing an important fundraising deadline and only have 24 hours to meet our monthly goal. Without a contribution from a tenacious Republican like yourself, we risk losing out on much-needed resources that will further our shared agenda.
But with your generous contribution of $5, $10, or $20, we’ll be able to successfully continue working towards our goal of getting sound conservatives elected and supporting our great president.
DONATE $5
DONATE $10
DONATE $20
DONATE OTHER
Alex, time is of the essence.
DONATE NOW
We are over halfway to our goal and need every conservative to act now! By chipping in today, your donation will go directly towards digital advertisements and radio spots which are necessary if we want President Donald J. Trump to see another terrific term in the White House. President Trump’s first term has been a great success and I for one cannot wait to see what he does with a second one! The only way to see what Trump’s second term holds is to donate today.
If you have $5, $10, or $20 to donate today, not only will you be ensuring we have the resources to secure a win for President Trump, but you are investing in a future that prioritizes our GOP agenda – one that will be felt throughout every community in Ohio for years to come.
CHIP IN TODAY
President Trump has spent the last four years rebuilding what the Democrats ruined. He has worked diligently to spark our economy and protect us from the socialist left. By donating within the next 24 hours, we will be sending President Trump a message that we are grateful for his hard work and are eagerly looking forward to the next four years!
DONATE
Thank you for your donation, Alex.
Corey R. Lewandowski
Paid for by Ohio Republican Party.
[[URL REDACTED]]
Not authorized by any candidate or candidate's committee.
This message was intended for: [[EMAIL_REDACTED]]
You were added to the system December 3, 2019.
For more information click here. Update your preferences
Unsubscribe | Unsubscribe via email",Ohio Republicans,,Republican Party,,,https://ohiogop.org/,12-02-2019,orgs,Ohio,State Political Party,,2020-06-30,05,Tue,483aa331214a8d52a3adfba26f40b2b4,46c2449dcb14f73aa6d3db03153f1e3b,
Jane Timken,info@ohiogop.org,President Trump Needs You!  ,"Dear Alex,
As of October 1, the radical Democrats have raised MILLIONS of dollars in an effort to turn Ohio blue. Alex, now is not the time to sit on the sidelines.
President Trump DEPENDS on us to secure another victory. If proud patriots don't stand up and fight for conservative values, who will?
Our country cannot afford to go back to the radical extremism of the Obama/Biden era. A win for Sleepy Joe is a loss for our representative republic.
Alex, we only have 27 days until the election. Will you donate RIGHT NOW and make sure our war chest is stocked and ready for the final push towards Election Day?
SECURE VICTORY
It’s time for our proud Buckeye patriots to band together and show up for our president.
The country is depending on us, Alex. We don’t have much time left, and it’s crucial that we rise to the challenge.
MAKE A CONTRIBUTION
Thank you,
Jane Timken,
Chairman, Ohio GOP
Paid for by Ohio Republican Party.
[[URL REDACTED]]
Not authorized by any candidate or candidate's committee.
This message was intended for: [[EMAIL_REDACTED]]
You were added to the system December 3, 2019.
For more information click here. Update your preferences
Unsubscribe | Unsubscribe via email",Ohio Republicans,,Republican Party,,,https://ohiogop.org/,12-02-2019,orgs,Ohio,State Political Party,,2020-10-08,06,Thu,72e154071ad026f3bdf84a1f78f12575,46c2449dcb14f73aa6d3db03153f1e3b,
Jane Timken,info@ohiogop.org,June 14th is President Trump’s Birthday!  ,"Calling All Republicans!
Now’s your chance to wish President Trump a happy birthday! Add your name to the virtual card and join millions of Americans in celebrating the president who has:
* Protected our borders
* Reinvigorated the economy
* Supported small businesses
* Defended American traditions
* And so much more
He worked hard to make America great for us… Now, we can return the favor and make his birthday great, too!
SIGN THE CARD
Jane Timken,
Chairman, Ohio GOP
Paid for by Ohio Republican Party.
[[URL REDACTED]]
Not authorized by any candidate or candidate's committee.
This message was intended for: [[EMAIL_REDACTED]]
You were added to the system December 3, 2019.
For more information click here. Update your preferences
Unsubscribe | Unsubscribe via email",Ohio Republicans,,Republican Party,,,https://ohiogop.org/,12-02-2019,orgs,Ohio,State Political Party,,2020-06-09,06,Tue,f9e16933c21175c851819139a870f138,46c2449dcb14f73aa6d3db03153f1e3b,
Jane Timken,info@ohiogop.org,now is NOT the time ...  ,"Help the Trump Administration fight this invisible enemy.
Alex, we need to stand by our President now more than ever.
Even during a global crisis, the Democrats are focusing on dragging President Trump’s name through the dirt instead of working with him to get our country back on track.
President Trump is busy getting medical supplies for those who are working on the front lines, providing financial relief for small businesses in our community, and working around the clock with private sector partners to provide relief all over the nation.
On the other hand, Representative Tavia Galonski is busying herself trying to smear the Trump Administration instead of focusing on the health and safety of American citizens.
Alex, stand by President Trump by making a donation today.
DONATE NOW
Not only is Tavia Galonski wasting time and resources to push her anti-Trump agenda, spreading dangerous misinformation that could potentially hurt the American people.
Alex, will you help President Trump fight this enemy?
STAND WITH TRUMP
While President Trump and the White House Coronavirus Task Force are tirelessly leading our country towards relief and recovery, the Democrats are worried about spreading lies and pointing fingers.
Now is not the time to be spewing false information to the public, while President Trump is doing everything in his power to get us through these challenging times.
Thank President Trump for being a guiding light during this pandemic by joining the fight and making a generous donation.
JOIN THE FIGHT >>
Thank you, Alex, for showing your support.
Ohio Republican Party
Jane Timken
Chairman, Ohio GOP
Paid for by Ohio Republican Party.
[[URL REDACTED]]
Not authorized by any candidate or candidate's committee.
This message was intended for: [[EMAIL_REDACTED]]
You were added to the system December 3, 2019.
For more information click here. Update your preferences
Unsubscribe | Unsubscribe via email",Ohio Republicans,,Republican Party,,,https://ohiogop.org/,12-02-2019,orgs,Ohio,State Political Party,,2020-04-13,17,Mon,11066b8b8c224014e78a684b952356d5,46c2449dcb14f73aa6d3db03153f1e3b,
Jane Timken,info@ohiogop.org,URGENT: President Trump Needs You  ,"Dear Alex,
After 4 years of fake news attacks and far-left power-grabbing, it’s time for President Trump to prove that he is STILL the right choice for America.
Somehow, the left thinks that Sleepy Joe has what it takes to lead the country, but after this first debate is over, they’ll have to face the facts.
Joe Biden is in WAY over his head. If we band together as Patriots and give $20.20 right now, that message will be made LOUD AND CLEAR.
DONATE $20.20
The left thinks they have this in the bag, but they have no idea what they are up against. We have a responsibility to protect our families and future generations from the destruction that comes with radical policies, that’s why we need all hands on deck TODAY.
Will you donate $20.20 right now?
President Trump has spent 4 years fighting for us and protecting what makes our nation great. Now it’s OUR TURN to prove that we are in his corner and fighting just like he’s fought for us.
DONATE NOW
Thank you for your support.
Jane Timken,
Chairman, Ohio GOP
Paid for by Ohio Republican Party.
[[URL REDACTED]]
Not authorized by any candidate or candidate's committee.
This message was intended for: [[EMAIL_REDACTED]]
You were added to the system December 3, 2019.
For more information click here. Update your preferences
Unsubscribe | Unsubscribe via email",Ohio Republicans,,Republican Party,,,https://ohiogop.org/,12-02-2019,orgs,Ohio,State Political Party,,2020-09-29,11,Tue,944c468a9541d562923923522e56e320,46c2449dcb14f73aa6d3db03153f1e3b,
Jane Timken,info@ohiogop.org,Kasich is still sore from 2016  ,"Alex,
Just how out of touch can John Kasich get? It seems there are no bounds!
UNITE WITH US
Republicans have been working hard to deliver results for the American people, and instead of meeting us at the table, the Left prefers to throw their hands in the air and complain amongst themselves.
President Trump is doing everything he can to rebuild our economy and keep us on a path to real recovery, but because Kasich is still sore about losing in 2016, he’s decided to join the liberal whine parade at the Democratic National Convention.
Show John Kasich and the Liberal Left that we believe and support the efforts of President Trump. Donate today to help Trump and other Republicans win this November.
DONATE NOW
We’ll show them what progress really looks like.
Jane Timken,
Chairman, Ohio GOP
Paid for by Ohio Republican Party.
[[URL REDACTED]]
Not authorized by any candidate or candidate's committee.
This message was intended for: [[EMAIL_REDACTED]]
You were added to the system December 3, 2019.
For more information click here. Update your preferences
Unsubscribe | Unsubscribe via email",Ohio Republicans,,Republican Party,,,https://ohiogop.org/,12-02-2019,orgs,Ohio,State Political Party,,2020-08-18,16,Tue,bc5463203ec709522b54336d1731002f,46c2449dcb14f73aa6d3db03153f1e3b,
Jane Timken,info@ohiogop.org,The Democrats Took Your Tax Dollars!  ,"Alex,
The Ohio Democrats have taken our TAX DOLLARS and used it to fund their campaigns.
Ohio Democratic Party among recipients of PPP loans
You read it right, Alex.
The Dems are using hundreds of thousands of our tax dollars to win political campaigns.
There’s no excuse that could make this right... they need to return our money, now.
MAKE THEM GIVE THE MONEY BACK!
Ohio Democrats took the money that was meant to help small businesses stay afloat, pay wages, and take care of our families, and they aren’t giving it back.
If we don’t hold them accountable, who will?
HOLD THEM ACCOUNTABLE
Together, we must uphold our conservative values, protect our tax payer dollars, and stand up for the businesses in the Buckeye state.
Let’s do this together.
Thank you,
Jane Timken
Charman, Ohio GOP
Paid for by Ohio Republican Party.
[[URL REDACTED]]
Not authorized by any candidate or candidate's committee.
This message was intended for: [[EMAIL_REDACTED]]
You were added to the system December 3, 2019.
For more information click here. Update your preferences
Unsubscribe | Unsubscribe via email",Ohio Republicans,,Republican Party,,,https://ohiogop.org/,12-02-2019,orgs,Ohio,State Political Party,,2020-07-17,07,Fri,b633c250fafae02f905477eb1175b831,46c2449dcb14f73aa6d3db03153f1e3b,
Jane Timken,info@ohiogop.org,FWD: HURRY: Our Deadline Is Coming!  ,"Did you see my email this morning?
We only have until midnight tonight to fund our Republican candidates. Can you help us?
We’re close – but I need your help to take us across the finish line.
DONATE NOW
Thank you for your help!!
Jane Timken,
Chairman, Ohio GOP
From: Jane Timken <[[URL REDACTED]]>
Date: Monday, August 31, 2020 at 6:00 AM
To: Alex <[[EMAIL_REDACTED]]>
Subject: HURRY: Our Deadline Is Coming!
This is it. The Republican National Convention is over, meaning the fight starts NOW. The battle to protect our conservative values begins TODAY.
President Trump made it clear: our freedoms, our jobs, and our way of life are at risk if Sleepy Joe and Kamala Harris are elected in November. We can’t let that happen, Alex.
That being said, we have to get to work. Will you donate today and send a message of strength that rattles the radical left? There’s only a few HOURS left until our end of month deadline.
DONATE NOW
You and I have seen more money in our families pockets over the last four years thanks to President Trump’s policies. There’s no doubt in my mind that under the leadership of Joe Biden, our taxes would skyrocket and all that has been gained will be lost.
HELP AMERICA THRIVE
We don’t have much time, Alex. President Trump is ready to kick into high gear and show the left what the silent majority can really do. Will you donate $100, $50, or $25 before 11:59 PM?
DONATE TODAY
We’re in this together, Alex. Can I count on you?
Jane Timken,
Chairman, Ohio GOP
Paid for by Ohio Republican Party.
[[URL REDACTED]]
Not authorized by any candidate or candidate's committee.
This message was intended for: [[EMAIL_REDACTED]]
You were added to the system December 3, 2019.
For more information click here. Update your preferences
Unsubscribe | Unsubscribe via email",Ohio Republicans,,Republican Party,,,https://ohiogop.org/,12-02-2019,orgs,Ohio,State Political Party,,2020-08-31,17,Mon,2aebe754276ee4366dbb9dccf36cec63,46c2449dcb14f73aa6d3db03153f1e3b,
Jane Timken,info@ohiogop.org,Victorious   ,"Alex,
President Trump commanded the debate stage last night and walked all over Joe Biden who was asleep at the wheel. Poor guy just couldn’t keep up.
Sleepy Joe has spent OVER 45 YEARS in Washington. He’s catered to Wall Street, taken money from middle-class families, and hurt our small businesses. Now he’s running for President as a socialist radical Democrat buddied up with Nancy Pelosi and AOC. He even pledged to ban fracking and kill the oil industry, eliminating millions of American jobs and crippling our economy.
Biden has had DECADES to make the policy changes he talked about last night. But he's all talk and no action.
He’s just a confused career politician who is in way over his head.
But despite too many poor performances to count, Joe Biden and Kamala Harris are leading in the polls.
I’m counting on you to help us stop them.
DONATE NOW
If last night showed us anything, it’s that President Trump is unquestionably the best candidate to lead our country forward. We need four more years of Making America Great.
With only 11 days left to the election, President Trump needs YOU now more than ever. Can he count on your support?
President Trump and the Republican candidates up and down the ballot have done their part. Now it’s time for you to do yours.
DONATE NOW
Thank you,
Jane Timken,
Chairman, Ohio GOP
P.S. With less than two weeks before election day, we need every patriot to stand up ASAP. We need to get out the vote, and time is running short to make a difference.
Paid for by Ohio Republican Party.
[[URL REDACTED]]
Not authorized by any candidate or candidate's committee.
This message was intended for: [[EMAIL_REDACTED]]
You were added to the system December 3, 2019.
For more information click here. Update your preferences
Unsubscribe | Unsubscribe via email",Ohio Republicans,,Republican Party,,,https://ohiogop.org/,12-02-2019,orgs,Ohio,State Political Party,,2020-10-23,18,Fri,577471a6498150f216d456e373d44d75,46c2449dcb14f73aa6d3db03153f1e3b,
Jane Timken,info@ohiogop.org,Recovery is Here  ,"Alex, despite the worst fears of “experts”, the good news this month is that our country’s economy is moving in the right direction. Recovery is here and if we act now, we can ensure the future of Ohio is one that works for all of us.
It’s vital to our economic health that we show support for strong, Republican leaders who know and understand the importance of keeping our businesses open and getting life back to normal.
We must keep our foot on the gas and our economy moving forward. That starts with giving conservative leaders everything they need to fight for Ohio workers.
Alex, will you join the fight to keep our economy strong?
FEED THE RECOVERY
The damage of COVID-19 won’t disappear right away – but we are moving in the right direction. President Trump and Ohio Republicans are working hard to get the economy growing again, but we can’t let Democrats in the D.C. Swamp stand in their way.
The future is bright when we feed a working, conservative mission. Take a stand with us today, protect the jobs we need, and keep Ohio a place where hardworking Buckeyes are free to provide for their families.
Alex, the future of Ohio businesses depends on you. Thank you for supporting conservative leaders who work for us.
PROTECT OHIO JOBS
Jane Timken,
Chairman, Ohio GOP
Paid for by Ohio Republican Party.
[[URL REDACTED]]
Not authorized by any candidate or candidate's committee.
This message was intended for: [[EMAIL_REDACTED]]
You were added to the system December 3, 2019.
For more information click here. Update your preferences
Unsubscribe | Unsubscribe via email",Ohio Republicans,,Republican Party,,,https://ohiogop.org/,12-02-2019,orgs,Ohio,State Political Party,,2020-06-15,15,Mon,f0fc5481f26d4058aaed34bd6bbf3fde,46c2449dcb14f73aa6d3db03153f1e3b,
