from_name,from_address,subject,body_text,name,office_sought,party_affiliation,office_level,district_type,final_website,crawl_date,source,state,type,subtype,date,hour,day,uid_email,uid_inbox,incumbent
Tennessee Republican Party,info@tngop.org,The fly is clearly worried,"Tennessee Republican Party
Friend \--
Even the fly is getting out to vote and this is what the fly heard!
\- Joe Biden will RAISE TAXES on day one.
Link - [[URL REDACTED]]
\- Pence asked whether Harris and Biden would “PACK” the Supreme Court.
Link - [[URL REDACTED]]
\- Joe Biden and Kamala Harris want to ABOLISH FOSSIL FUEL and BAN FRACKING.
Link - [[URL REDACTED]]
\- Pence accuses Joe Biden of PLAGIARIZING Trump’s COVID-19.
Link - [[URL REDACTED]]
\- You are entitled to your own opinion but you are not entitled to your own [[URL REDACTED]] Mike Pence to Kamala Harris 💪🏻🇺🇸
Donate To Save America
Only 26 Days left to fight for the America you know, and want to keep! Our country cannot afford to go back to the radical extremism of the Biden era.
Tennessee Republican Party
[[URL REDACTED]]
Tennessee Republican Party · 95 White Brg, Suite 414, Nashville, TN 37205, United States
This email was sent to [[EMAIL_REDACTED]]. To stop receiving emails, click here.
Paid for by the Tennessee Republican Party. Not authorized by any candidate or candidate's committee.
You can also keep up with Tennessee Republican Party on Twitter or Facebook.
Created with NationBuilder, software for leaders.",Tennessee Republicans,,Republican Party,,,https://www.tngop.org/,12-02-2019,orgs,Tennessee,State Political Party,,2020-10-08,09,Thu,ab05936901a46c1747900d120bcf7d7e,305e0605e4c70669c24bc3204ac4fb64,
Digital-TNGOP,info@tngop.org,Senate Majority!,"Tennessee Republican Party
Friend \--
I know that, like me, you believe in a strong, prosperous America.
That is why it is so important to include you to help keep our Senate Majority! With control of the White House on the line, these radical groups are greatly ratcheting up their need to take control of our government.
As a matter of fact, AOC said this yesterday. “We all need to be more courageous and we all must act in unprecedented ways to make sure that our rights are stabilized,"" she added. ""And to Mitch McConnell, we need to tell him that he is playing with fire.
And they will continue to take their lies and brainwashing to the extreme to undermine the core unity of the American people.
Now, I ask that you stand with me, your fellow Tennesseans to battle to KEEP Republicans Elected by chipping in here.
> Donate
Sincerely,
Amy Lewis | Finance Director
[[URL REDACTED]]
Tennessee Republican Party · 95 White Brg, Suite 414, Nashville, TN 37205, United States
This email was sent to [[EMAIL_REDACTED]]. To stop receiving emails, click here.
Paid for by the Tennessee Republican Party. Not authorized by any candidate or candidate's committee.
Created with NationBuilder, software for leaders.",Tennessee Republicans,,Republican Party,,,https://www.tngop.org/,12-02-2019,orgs,Tennessee,State Political Party,,2020-09-22,16,Tue,92d5b1f683d97f72d510c5c7ef408ca0,305e0605e4c70669c24bc3204ac4fb64,
Tennessee Republican Party,info@tngop.org,TIME FOR CHOOSING!,"Friend \--
It is officially one day until election day. This moment has been a long time coming, and we are finally in the last leg of the race for freedom. Now is the time to fight harder than ever before to KEEP Donald Trump in office and Keep Tennessee Great!
* * *
* * *
Donate To KEEP Tennessee RED!
TIME FOR CHOOSING!
Let's do this, Tennessee! See you at the poll.
Again, thank you for your continued support!
Tennessee Republican Party
[[URL REDACTED]]
This email was sent to [[EMAIL_REDACTED]]. To stop receiving emails, click here.
Paid for by the Tennessee Republican Party. Not authorized by any candidate or candidate committee.
You can also keep up with Tennessee Republican Party on Twitter or Facebook.",Tennessee Republicans,,Republican Party,,,https://www.tngop.org/,12-02-2019,orgs,Tennessee,State Political Party,,2020-11-02,18,Mon,f08d32811e9b64dae06e9157d6873758,305e0605e4c70669c24bc3204ac4fb64,
Chairman Scott Golden,info@tngop.org,Early Voting,"Tennessee Republican Party
Friend,
This week is so important!
Absentee and Early Voting has already began in states across the Country and with nearly 40 DAYS until Election Day, we NEED to make sure Americans will be casting their votes for President Trump and Republicans. Can you help us, Amy?
SIGN UP RIGHT NOW FOR OUR 40 DAYS OUT WEEKEND OF ACTION FROM SEPTEMBER 25 - 27 IN YOUR COMMUNITY. >>
Get Involved
I'm requesting a list of EVERY Tennessee American Patriot who registers to volunteer for our 40 DAYS OUT Weekend of Action by the end of day!
Thank you,
Scott Golden
Chairman
Tennessee Republican Party
Paid For By The Tennessee Republican Party
This email was sent to [[EMAIL_REDACTED]]. To stop receiving emails, click here.",Tennessee Republicans,,Republican Party,,,https://www.tngop.org/,12-02-2019,orgs,Tennessee,State Political Party,,2020-09-21,17,Mon,b119575fbded7330dc758a4d6b618d96,305e0605e4c70669c24bc3204ac4fb64,
Chairman Scott Golden,info@tngop.org,Your name is missing,"Tennessee Republican Party
Friend, your name is missing!
I need your help to celebrate President Trump’s birthday next weekend. Sign up for our Summer Kick-Off National Weekend of Action and celebrate President Donald J. Trump!
Together we will show Tennessee Republicans how much we support them next weekend. This is going to be our BIGGEST National Weekend of Action ever.
Join the TN Trump Victory Team from June 12 - 14th >>
Let’s kick-off summer in a HUGE way. We are FIVE MONTHS from Election Day and need all conservative Tennesseans fired up!
This is our chance to show the radical Democrats and Beijing Biden how STRONG our political operation is. Can I count on you?
Thank you,
Scott Golden
Chairman
Tennessee Republican Party
Paid For By The Tennessee Republican Party
This email was sent to [[EMAIL_REDACTED]]. To stop receiving emails, click here.",Tennessee Republicans,,Republican Party,,,https://www.tngop.org/,12-02-2019,orgs,Tennessee,State Political Party,,2020-06-13,16,Sat,1475dec6501efd5ed1536e529163c351,305e0605e4c70669c24bc3204ac4fb64,
Tennessee Republican Party,info@tngop.org,Florida Agenda,"Tennessee Republican Party
Friend \--
Bloomberg, the former Democratic presidential candidate who pledged $100 million to help Democrat Joe Biden defeat President Donald Trump in Florida, is giving a total of $4 million to the groups to support autumn canvassing, Bloomberg’s organization announced.
All three organizations are heavily backed by labor unions and other PACs and Super PACs that traditionally support Democrats. Joe Biden on the other hand will Defend & Protect the rioters and domestic terrorist organizations DESTROYING our Country.
Stand with President Trump and protect our Nation!!
As Bloomberg stated in a news release. “Floridians have the power to single-handedly deliver a decisive blow to Donald Trump’s reelection chances and get the country back.""
We can't allow this! Can we count on you today, Friend?
You KNOW what we are up [[URL REDACTED]] need your help now. Only 29 days left to save America!
Donate
Tennessee Republican Party
[[URL REDACTED]]
Tennessee Republican Party · 95 White Brg, Suite 414, Nashville, TN 37205, United States
This email was sent to [[EMAIL_REDACTED]]. To stop receiving emails, click here.
Paid for by the Tennessee Republican Party. Not authorized by any candidate or candidate's committee.
You can also keep up with Tennessee Republican Party on Twitter or Facebook.
Created with NationBuilder, software for leaders.",Tennessee Republicans,,Republican Party,,,https://www.tngop.org/,12-02-2019,orgs,Tennessee,State Political Party,,2020-10-05,13,Mon,e7dfefd7282b9ea4afeef9de6555030f,305e0605e4c70669c24bc3204ac4fb64,
Chairman Scott Golden,info@tngop.org,Presidential Debate,"Tennessee Republican Party
Friend,
Statement from the Tennessee Republican Party Chair, Scott Golden, on former Vice President Joe Biden's selection of Senator Kamala Harris as his running mate for the 2020 campaign.
""It goes without saying that the selection of Senator Kamala Harris as Biden's running mate is an important decision. The Biden campaign's persistence to have the former Vice President remain in his basement for the better part of 2020 adds to the pressure of making the right choice,"" said Scott Golden.
""Unfortunately, a Senator Kamala Harris pick proves that the Biden campaign is completely controlled by the radical left of the Democratic party. The days of good, old ""UNCLE"" Joe are long gone and have been replaced by a mob bent on raising taxes, radical theories, ransacking America,"" continued Golden.
""I have faith that when the voters examine both candidates and campaigns they will come to the conclusion that only one person can make and keep America great... President Donald Trump,"" concluded Golden.
But here's a hard truth: the Democrats probably had their biggest fundraising day of the year yesterday.
Now it's up to us to choose how we'll respond.
KEEP TN RED *DONATE*
This is our chance to show the radical Democrats, how STRONG our political operation is. Can I count on you?
***Belmont University in Nashville will be hosting a Presidential Debate on October 22, 2020.
Thank you,
Scott Golden
Chairman
Tennessee Republican Party
Paid For By The Tennessee Republican Party
This email was sent to [[EMAIL_REDACTED]]. To stop receiving emails, click here.",Tennessee Republicans,,Republican Party,,,https://www.tngop.org/,12-02-2019,orgs,Tennessee,State Political Party,,2020-08-12,16,Wed,469912b0ef946dd0e55c2c1866d139d2,305e0605e4c70669c24bc3204ac4fb64,
Tennessee Republican Party,info@tngop.org,Post progressive president in the since FDR,"Tennessee Republican Party
Friend \--
Yesterday, Bernie Sanders said that Joe Biden would be the most progressive president in the since FDR! The radical left has no shame in hiding their corrupt agenda of sacrificing American values to embrace SOCIALISM. They will use Joe as their puppet to manipulate the American people and wreak havoc on our republic.
There are only 28 days left to push against this insanity, until it is up to the hands of electoral fate! Help us fight to keep America Great. We need you!
Chip In - $5
It's up to us to make certain that America is FIRST! Please, donate $5 or more today.
Scott Golden, Chairman
Tennessee Republican Party
Tennessee Republican Party · 95 White Brg, Suite 414, Nashville, TN 37205, United States
This email was sent to [[EMAIL_REDACTED]]. To stop receiving emails, click here.
Paid for by the Tennessee Republican Party. Not authorized by any candidate or candidate's committee.
You can also keep up with Tennessee Republican Party on Twitter or Facebook.
Created with NationBuilder, software for leaders.",Tennessee Republicans,,Republican Party,,,https://www.tngop.org/,12-02-2019,orgs,Tennessee,State Political Party,,2020-10-06,15,Tue,7313aeca2a4d4919051fa670a7ef7321,305e0605e4c70669c24bc3204ac4fb64,
Tennessee Republican Party,info@tngop.org,Do you have the app?,"Tennessee Republican Party
Friend,
> The Trump 2020 App is your ALL-ACCESS PASS to the President and his re-election campaign and President Trump really wants YOU to have it.
>
> Feel free to share this email far and wide with your friends, family and fellow supporters!
Sincerely,
Scott Golden
Chairman, TNGOP
Again, thank you for your support and for Keeping TN Red!
Tennessee Republican Party
[[URL REDACTED]]
Tennessee Republican Party · 95 White Brg, Suite 414, Nashville, TN 37205, United States
This email was sent to [[EMAIL_REDACTED]]. To stop receiving emails, click here.
Paid for by the Tennessee Republican Party. Not authorized by any candidate or candidate's committee.
You can also keep up with Tennessee Republican Party on Twitter or Facebook.
Created with NationBuilder, software for leaders.",Tennessee Republicans,,Republican Party,,,https://www.tngop.org/,12-02-2019,orgs,Tennessee,State Political Party,,2020-10-12,12,Mon,5733ed18f386de86026e40ac1a202823,305e0605e4c70669c24bc3204ac4fb64,
Tennessee Republican Party,info@tngop.org,Your order details,"Tennessee Republican Party
Friend,
As we head into this evening's VP Presidential Debate, we’re one step closer to Election Day. And THAT means we need to step up our Game Day Gear!
We have a limited supply of these one-of-a-kind t-shirts, and we are holding one for YOU until tonight! Just chip in $25 or more to help elect Republicans in Tennessee, and we’ll confirm your order and get it in the mail to you ASAP.
RIGHT NOW reelect President Trump and Republicans up and down the ballot. Can we count on you, Friend?
What we do now will determine how America will look for future generations to come. That’s why we’re calling on YOU to help us fight for American Greatness and claim VICTORY on Election Day.
Donate
P.S. — I’m going to personally review every contribution made by midnight. I really hope I’ll see your name on that list.
Sincerely,
Scott Golden
Chairman, TNGOP
Again, thank you for your support and for Keeping TN Red!
Tennessee Republican Party
[[URL REDACTED]]
Tennessee Republican Party · 95 White Brg, Suite 414, Nashville, TN 37205, United States
This email was sent to [[EMAIL_REDACTED]]. To stop receiving emails, click here.
Paid for by the Tennessee Republican Party. Not authorized by any candidate or candidate's committee.
You can also keep up with Tennessee Republican Party on Twitter or Facebook.
Created with NationBuilder, software for leaders.",Tennessee Republicans,,Republican Party,,,https://www.tngop.org/,12-02-2019,orgs,Tennessee,State Political Party,,2020-10-07,13,Wed,a74fafd79e48a152b2f613daa8de6812,305e0605e4c70669c24bc3204ac4fb64,
Chairman Scott Golden,info@tngop.org,"today, we make history","Tennessee Republican Party
Friend,
The fight for the future of the Supreme Court has been a battle for Judge Amy Coney Barrett.
Democrats online immediately attacked her based on her faith, family, and commitment to the Constitution.
Everything is on the line! FILL THE SEAT with a strong, conservative background! Judge Amy Coney Barrett will no doubt uphold our Constitution and protect our freedoms for decades to come.
Can you stand by Judge Amy Coney Barrett today?
We need your continued, steady, and strong leadership to help our Grassroots Republicans stand by the Supreme Court Nominee.
Officially show your support by donating and confirming Judge Amy Coney Barrett for the Supreme Court today.
Donate
Thank you,
Scott Golden
Chairman
Tennessee Republican Party
Paid For By The Tennessee Republican Party
This email was sent to [[EMAIL_REDACTED]]. To stop receiving emails, click here.",Tennessee Republicans,,Republican Party,,,https://www.tngop.org/,12-02-2019,orgs,Tennessee,State Political Party,,2020-10-26,14,Mon,a097dd39d1b9e58e5e7db1aacd4985c1,305e0605e4c70669c24bc3204ac4fb64,
Chairman Scott Golden,info@tngop.org,Confirmation #109172000,"Tennessee Republican Party
Friend,
Wake up on the RIGHT side of the bed. Start the morning as a true patriot by drinking your favorite beverage out of our Trump Pence ’20 mug! Pour yourself a nice cup of sleepy joe, or hot tea brewed from melted snowflakes. Take a sip and smile because “America will never be a socialist country”. Whatever your drink of choice, put in your favorite presidential mug and get ready to Make America Great Again!
SEND ME MY MUG!
Thank you,
Scott Golden
Chairman
Tennessee Republican Party
Paid For By The Tennessee Republican Party
This email was sent to [[EMAIL_REDACTED]]. To stop receiving emails, click here.",Tennessee Republicans,,Republican Party,,,https://www.tngop.org/,12-02-2019,orgs,Tennessee,State Political Party,,2020-09-17,13,Thu,0eeed1c761d1d73823bce84f96ecd1f7,305e0605e4c70669c24bc3204ac4fb64,
