from_name,from_address,subject,body_text,name,office_sought,party_affiliation,office_level,district_type,final_website,crawl_date,source,state,type,subtype,date,hour,day,uid_email,uid_inbox,incumbent
Sean Reyes,info@utgop.org,Re-Elect Attorney General Sean Reyes,"View this email in your browser
Dear Friend,
For over six and a half years, I have stood watch over Utah ensuring you and your children are safe and protected from sex predators, human traffickers and abusers, and protecting your teens from street drugs, vaping and suicide, and guarding your personal private data and identify from hackers and cyber criminals.
As ballots arrive this week, I hope you will take the time to watch this short video and learn more about me, my accomplishments, and my vision for the Utah AG office for the next four years.
If re-elected in November, my priorities will continue to be: 1) to maintain the highest standards of integrity and legal excellence; 2) keep all Utahns safe from violent criminals, including drug cartels, human traffickers, and elder abusers; 3) protect our families and economy from white collar and cyber criminals; 4) defend Utah from federal overreach and threats such as the opioid epidemic and suicide; 5) preserve civil liberties, public lands, and empower veterans with the critical resources they often lack.
It has been an honor to serve as Utah’s Attorney General along so many highly accomplished prosecutors and legal staff.
Please make sure to vote, as this is one of the most important civic duties you will be tasked with in your lifetime. No matter whether you decide to mail your ballot, drop your ballot off in a drop-off box, or show up to a voter center on November 3, I hope you will cast your ballot.
Lastly, please tune in to your favorite TV news station on Wednesday, October 21 to watch the Attorney General debate, another way to learn more about both AG candidates and make an informed decision.
With respect and gratitude,
Sean D. Reyes
Utah Attorney General
Donate
Twitter
Facebook
Website
Email
Instagram
FRIENDS OF SEAN REYES
ADDRESS: 222 SO. MAIN ST. #500, SLC UT 84101
PHONE: 385.282.5222
EMAIL: [[URL REDACTED]]
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",Utah Republicans,,Republican Party,,,https://utgop.org/,12-02-2019,orgs,Utah,State Political Party,,2020-10-15,15,Thu,7ba766e28da7ae5889673fd5cf56f536,03f0a04458b663adf72b51290233a02c,
Chairman Derek Brown- Utah Republican Party,info@utgop.org,UTGOP Virtual Convention Opening Day,"View this email in your browser
Fellow Republican:
This has been a fantastic week for the Utah Republican Party! We have transformed the party’s website ([[URL REDACTED]]) into “2020 Convention Central,” where we have information about the candidates, the races, and the convention. It is a “one-stop shop” for all the information that our delegates need to participate in the convention. I invite you to visit the website by clicking here.
Every candidate has prepared a pre-taped “convention speech,” and yesterday morning all of the speeches were released at the same time. It’s clear that delegates are taking their responsibilities seriously, as they have collectively spent over 12,000 hours watching the speeches. I highly recommend that each of you--even if you aren’t a delegate--take time to watch the speeches here.
This morning, voting officially began for the 2020 convention. You can watch the kickoff convention video below. The national anthem was sung by Utah artist Ryan Shupe, Governor Herbert welcomed the delegates, and then I gave a brief introduction kicking things off.
In just the first day of voting alone, an unbelievable 37% of all delegates cast their ballot! It has been a long time since we have seen this much interest and involvement by our state delegates. Many delegates who have served previously remarked that--with everything so accessible--they actually spent more time getting to know the candidates than in the past.
One of our state delegates, who is blind, sent us this heartwarming message:
“This is the perfect convention for me … because I didn’t have to go anywhere, I didn’t have to find someone to drive me to cottage meetings. I didn’t have to get my wife to take the whole day off of work to take me to the convention. I was able to do everything at home. The voting app was perfect. It was very accessible, and utilized the voiceover on my phone … It was a great experience.”
I am excited about how things are progressing, and look forward to seeing who our delegates will select to be our nominees. We anticipate that the results will be announced late Saturday evening, so stay tuned!
Derek Brown
Chairman, Utah Republican Party
DONATE
Twitter
Facebook
Website
Our mailing address is:
Utah Republican Party
15 W. South Temple, Suite 250
Salt Lake City, Utah 84101
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",Utah Republicans,,Republican Party,,,https://utgop.org/,12-02-2019,orgs,Utah,State Political Party,,2020-04-24,01,Fri,bd276862a90e5a2650b1184f54b40af3,03f0a04458b663adf72b51290233a02c,
Chairman Derek Brown,info@utgop.org,Election Day Is Finally Here!,"View this email in your browser
Hello Friends,
Today is the day!
As a party, we have spent the last 18 months working literally around the clock preparing for today. Our staff, our candidates, and volunteers have all given it everything. Truly, as football coaches are fond of saying, we have “left it all on the field.”
Regardless of what happens nationally, I look forward to Utahns electing Spencer Cox as our next Governor, and Deidre Henderson as our next Lieutenant Governor. I also look forward to rolling back many of the losses we suffered two years ago.
If you haven’t voted yet, it is too late to put your ballot in the mail. However, If you still have your mail-in ballot, you can drop it off at a drop box in your county. You can find ballot drop box locations by visiting [[URL REDACTED]]
You can also still vote in person if you have not voted, by going to [[URL REDACTED]] to find available polling locations.
Exactly 40 years ago today, Ronald Reagan gave his historic address in which he referred to America as a “shining city on a hill.” I believe that today’s election is not a referendum on personalities. It is a referendum on how well we can communicate those principles which made America that shining city, and whether we will keep it. After all, as Reagan also said, “Freedom is never more than one generation away from extinction.”
My hope is that, as your party chair, I have helped elevate the discussion during this intense election cycle, and regardless of the outcome, we can all wake up tomorrow and continue to work towards an America with a bright future.
Unfortunately, we will not be gathering tonight as we normally would as a party on Election Night. We hope that you will follow along on the party’s Facebook Page as some of our candidates talk about the election with you throughout the evening.
So, make sure you’ve voted, get comfortable, and together -- let’s watch the red tide roll across our country!
Derek Brown
Chairman
Utah Republican Party
Donate
Twitter
Facebook
Website
Email
Instagram
Copyright © 2019 Utah Republican Party, All rights reserved.
Our mailing address is:
15 W. South Temple, Ste 250
Salt Lake City, UT 84101
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",Utah Republicans,,Republican Party,,,https://utgop.org/,12-02-2019,orgs,Utah,State Political Party,,2020-11-03,13,Tue,a70c1b1aad015d3b0caaa479fe1653b1,03f0a04458b663adf72b51290233a02c,
Senator Mike Lee,info@utgop.org,Turn Utah (all the way) Red!,"We need your help View this email in your browser
Fellow Utahns,
After watching the Vice Presidential Debate this week, it is clear the election this November presents two stark choices. We can choose a path that favors freedom, a strong economy with low taxes and reasonable regulation, and a preservation of the Constitution. Or, we can choose a radical path to increase taxes on American families, enact the Green New Deal, use the Coronavirus outbreak to transform our system of federalism into a command-and-control all-powerful central government, fundamentally change our country by stacking the Supreme Court, nuke the filibuster, and eliminate the Electoral College. This should be an easy choice!
In a few days, county clerks around our state will be sending ballots to those who have registered to vote by mail. This means, the election in Utah essentially starts on October 13. If you haven’t registered to vote already, you should reach out to your county clerk to find the best way to cast your vote for the general election.
In Utah, there are two races that I am watching very closely right now. The first race is the for the open seat in Congressional District 1. Blake Moore is the Republican candidate for this seat, and I encourage you to vote for Blake Moore.
Republicans have also nominated Burgess Owens to run against Congressman Ben McAdams in Congressional District 4. This will be one of the closest races in the country, and we need to rally behind Burgess Owens.
In order to help these candidates with their effort to get out the vote in these crucial upcoming weeks, we need to help them with their fundraising efforts. I have set up a fundraising page to help support us in these efforts to get out the vote. These down-ballot races will be one of the most important factors in ensuring that Utah delivers a solid win for President Trump in November.
Democrats are running on their plans to stack the Supreme Court, add new states, get rid of the Electoral College, and enact the Green New Deal. When it comes to radically transforming America, it appears they've finally decided all bets are off.
We can’t afford to sit this election out.
We need to work together to turn Utah back to being a Red State. The best way to do this right now, is to vote for these strong Republican candidates when you get your ballot. Most importantly, we need to get these candidates the resources they need to get through the grueling weeks ahead. I hope you will join me in providing crucial assistance to these campaigns.
Yours in liberty,
Mike Lee
Donate
Twitter
Facebook
Website
Email
Instagram
Copyright © 2019 Utah Republican Party, All rights reserved.
Our mailing address is:
15 W. South Temple, Ste 250
Salt Lake City, UT 84101
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",Utah Republicans,,Republican Party,,,https://utgop.org/,12-02-2019,orgs,Utah,State Political Party,,2020-10-09,16,Fri,858d439957516e6c1c8c872e079d5243,03f0a04458b663adf72b51290233a02c,
Chairman Derek Brown,info@utgop.org,Utah Deserves Better,"Burgess Owens is a Good Man View this email in your browser
Friends:
Burgess Owens has been sharing his heart-wrenching and incredible life story with Utah. He pulled himself out of bankruptcy, working as a chimney sweep to provide for his young family, creating success out of failures.
In his nationally-televised speech at the Republican National Convention, he said “I’m running for Congress because we don’t need more career politicians. We need a few more chimney sweeps.”
Burgess’s life story showcases everything good about America: an African American man who had nothing, struggled against the odds, and created the American Dream.
Now … do you understand why Ben McAdams and his party are spending millions of dollars flooding the airwaves trying to tear Burgess down?
McAdams is now flooding the airwaves, criticizing Burgess for his failures -- all the while failing to tell you how the Burgess story even ends. Yes, he failed, as we all do. But more importantly, he refused to believe he was a victim, picked himself up, and eventually succeeded.
Unfortunately, McAdams “forgets” to tell us the rest of the Burgess story.
In that light, it’s also easy to see why Burgess is a threat--not only to McAdams--but to the person who has helped him raise those millions, the one McAdams votes with 89% of the time: Nancy Pelosi.
You see, McAdams is about to spend literally millions of dollars in the next two months defaming a hardworking man whose story epitomizes everything good about America.
And after everything Utahns have endured in 2020, they will now watch McAdams’ unrelenting attacks on Burgess for the next two months for simply doing the one thing Democrats fear most: succeed.
However, our party is committed to Burgess’s success, and we need your help.
Please donate TODAY to help us elect Burgess to Congress--a man who, through his failures, has succeeded in creating the American Dream.
After all, when a good man like Burgess succeeds, we all succeed.
Chairman Derek Brown
Donate $25
Donate $75
Donate $100
Donate Other
Twitter
Facebook
Website
Email
Instagram
Copyright © 2019 Utah Republican Party, All rights reserved.
Our mailing address is:
15 West South Temple Suite #250
Salt Lake City, UT 84041
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",Utah Republicans,,Republican Party,,,https://utgop.org/,12-02-2019,orgs,Utah,State Political Party,,2020-09-10,11,Thu,b8d5c14ccd404b3e1411b39146036e8a,03f0a04458b663adf72b51290233a02c,
The Utah Republican Party,info@utgop.org,Is Bernie Sanders Mainstream?,"View this email in your browser
Well friends, the Democrats have nominated Joe Biden and Kamala Harris for President and Vice President of the United States. This is an historic event because never before in our country’s history have we had a political party openly nominate their Vice President with the stated, specific intent to have that person take over the presidency as soon as possible. Joe Biden even referred to himself as a Bridge to the new generation of Democrats. That new generation includes, not only his running mate, but the likes of Alexandria Ocasio-Cortez, Ilhan Omar, the rest of the squad and Bernie Sanders.
In Sanders’s Convention Speech Monday, he declared that his campaign moved American in a “Bold New Direction” and that his ideas that were once considered radical just a couple of years ago are now “Mainstream” in the Democrat Party.
You can hear him in his own words here:
In the meantime, “Joe Biden” has proposed a radical left-wing agenda that includes:
* $4 trillion in tax hikes. 82% of Americans would see a tax increase under a Biden Administration.
* A radical immigration agenda that includes open borders, health care for illegals, and citizenship for 11 million migrants.
* Defunding, dismantling, and dissolving police departments.
* Destroying America’s energy sector which would crush more than 10 million jobs.
We deserve better than that. Joe Biden is definitely a bridge, but he’s not a bridge to prosperity. He’s a bridge to nowhere.
Can you contribute today to help us defeat this radical agenda?
Donate $25
Donate $50
Donate $125
Donate $250
Twitter
Facebook
Website
Email
Instagram
Copyright © 2019 Utah Republican Party, All rights reserved.
Our mailing address is:
15 West South Temple Suite #250
Salt Lake City, UT 84041
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",Utah Republicans,,Republican Party,,,https://utgop.org/,12-02-2019,orgs,Utah,State Political Party,,2020-08-21,08,Fri,aeb95fc72bbdf0e3fc2f397cea6578ba,03f0a04458b663adf72b51290233a02c,
MAGA Utah,info@utgop.org,President Trump wants to see us CRUSH the Democrats in fundraising,"Here’s the thing:
President Trump wants every Super Tuesday state to CRUSH the Democrats in fundraising before voting begins March 3rd.
Here’s the thing: We have to raise $10,000 online in just the next few days. This is a big goal, but I know that with YOU, our grassroots team on the ground, that we can get there.
Will you chip-in $5, $15, $50, $150 or whatever you can now to make sure we raise what they’ve asked us to?
Chip-in $5 >>
Chip-in $15 >>
Chip-in $50 >>
Chip-in $150 >>
Chip-in $500 >>
Another Amount >>
As you know, for the first time ever, Utah will be participating in the Presidential Super Tuesday Primary Elections on March 3rd. We will be playing an important role in showing excitement and support for President Trump and AGAINST the Socialist views of the Radical Left.
This is a chance to show our strength and let our conservative voices be heard.
Can we count on you to fight with us to KEEP AMERICA GREAT and to KEEP UTAH RED?
Chip-in here >>
Thank you,
Team, MAGA Utah
Copyright © 2020 Utah Republican Party, All rights reserved.
You are receiving this email because you opted in via our website.
Our mailing address is:
Utah Republican Party
15 W South Temple Ste 250
Salt Lake City, UT 84101-1723
Add us to your address book
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.
Email Marketing Powered by Mailchimp",Utah Republicans,,Republican Party,,,https://utgop.org/,12-02-2019,orgs,Utah,State Political Party,,2020-02-26,16,Wed,863aab34854f47099be4a6d10352131c,03f0a04458b663adf72b51290233a02c,
News Alert,info@utgop.org,Democratic presidential candidate Pete Buttigieg coming to Utah,"see the news?
Democratic Presidential Candidate Pete Buttigieg Coming to Utah
Mayor Pete Coming To Utah
Chip in $10 to help Keep Utah RED and ensure a Utah Trump Victory!
Copyright © 2020 Utah Republican Party, All rights reserved.
You are receiving this email because you opted in via our website.
Our mailing address is:
Utah Republican Party
15 W South Temple Ste 250
Salt Lake City, UT 84101-1723
Add us to your address book
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",Utah Republicans,,Republican Party,,,https://utgop.org/,12-02-2019,orgs,Utah,State Political Party,,2020-02-13,20,Thu,a1449ef174a6b57e0569ba5964ad31bd,03f0a04458b663adf72b51290233a02c,
Chairman Derek Brown,info@utgop.org,Without Fear or Favor,"View this email in your browser
My Friends,
Last night we witnessed history as Justice Amy Coney Barrett was sworn in as the newest member of the Supreme Court. For several days, the Senate grilled her on every legal and political topic imaginable. And for over 20 hours, she skillfully answered question after question, showcasing a startling breadth of legal understanding, without relying on a single note! It is hard to imagine anyone more qualified or prepared for this critical role.
It was 1993 when Ruth Bader Ginsburg was confirmed by the Judiciary Committee, chaired at the time by then-Senator Joe Biden. Senator Biden set this clear ground rule at the beginning of her hearings: Ginsburg had no obligation to answer any questions about her own political views or about any issue that could come before the Court. This has since become known as “the Ginsburg Rule.”
In what will one day be remembered as a moment of supreme historical irony, during these hearings to replace Justice Ginsburg, Democrats repeatedly attempted to coerce Barrett into violating the very “Ginsburg Rule” that Biden himself established. Of course, she did not fall for the trap. Instead she showcased a cool temperament and level of intellectual brilliance that was, in a word, judicial.
There's one thing I can say with certainty: the Court is in good hands.
In her swearing in speech, Justice Barrett stated: “The oath I have solemnly taken tonight means at its core that I will do my job without any fear or favor and that I will do so independently of both the political branches and of my own preferences. I love the Constitution and the Democratic Republic it establishes, and I will devote myself to preserving it.”
Her commitment to act “without any fear or favor” is breathtakingly powerful. There is, perhaps, no greater qualification we could ever ask for of a member of the highest court in the land than one who can truly act “without fear or favor.”
On a personal note, it is becoming increasingly rare in American political discourse to hear someone utter the words with which she concluded her speech: “I love the Constitution.”
Like Justice Barrett, I too love our Constitution, and celebrate the swearing in of one who feels likewise. It is truly my hope that this coming week Americans will elect public officials that share that sentiment. My friends, yesterday was a good day for our country, and a great day for our Constitution.
With hope for our future,
Derek Brown
Donate
Twitter
Facebook
Website
Email
Instagram
Copyright © 2019 Utah Republican Party, All rights reserved.
Our mailing address is:
15 W. South Temple, Ste 250
Salt Lake City, UT 84101
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",Utah Republicans,,Republican Party,,,https://utgop.org/,12-02-2019,orgs,Utah,State Political Party,,2020-10-27,12,Tue,ad97ddea9ac491326d4780366a4fe2de,03f0a04458b663adf72b51290233a02c,
Chairman Derek Brown,info@utgop.org,Media Bias Against Burgess Owens,"Help Us Support This Good Man View this email in your browser
Friends,
Burgess Owens, as we are realizing, is the real deal. A black man raised in the segregated south, Owens’ high school experience was like a real-life version of the Disney film “Remember the Titans.” Forced to fight, all while dealing with prejudice and bigotry of his white counterparts, Burgess eventually earned their respect. He later played with the NFL, where some of his most ardent opponents are now his biggest allies.
But, Owens’ journey didn’t stop there. His life has since been an incredible journey of successes and failures that have helped those around him, taught him valuable lessons, and made him the success that he is. McAdams’ story -- Ivy League school, white-shoe law firm, election victory after election victory while climbing the political ladder of success -- well, it simply couldn’t be more different from Owens’s story.
And Owens is still fighting an uphill battle, even today. He is still fighting an onslaught of attacks, not in the segregated south, but right here in Utah, funded by Nancy Pelosi. And while he fights, his opponent receives the privilege of what we call media “puff pieces.”
In fact, a report released yesterday by the Media Research Center (MRC) followed the local coverage of the Owens/McAdams race during the last 10 weeks, and shows us a textbook example of what it looks like for a media outlet to try to subtly “tilt” the election in favor of their preferred candidate.
MRC analyzed all of its stories about the 4th Congressional District during the last 10 weeks, and found that McAdams essentially enjoyed “10 weeks of one-sided favorable coverage.” It also found that while there it had “essentially no negative topics” about the Democrat, there were many stories referencing negative topics about the Republican, Burgess Owens.
More disturbing, not only were there no negative stories about McAdams, they found “an assortment of positive stories which reinforced his campaign themes of independence and service on behalf of Utahns.”
If that statement doesn’t make you angry, perhaps you didn’t read it carefully. Let me repeat it: MRC said that the coverage of McAdams consisted of “positive stories which reinforced his campaign themes.”
This makes my job even more difficult. But as conservatives, we are used to this battle. And here in Utah, it’s the same battle.
Owens’ life is frightening to Democrats like Pelosi, because he has done the one thing Democrats fear most from someone like him: succeed.
And yesterday’s new report simply tells us what we already know: we simply cannot rely on the media to help Utahns get to know the real Burgess Owens. They are more than happy to highlight his failures. But they will never tell us about his successes.
In short, we need your help. Please donate so we can counter these nonstop attacks on a good man--a man whose life is truly the American dream, and who is exactly the kind of person we need in Congress.
Derek Brown
Donate $25
Donate $75
Donate $100
Donate Other
Twitter
Facebook
Website
Email
Instagram
Copyright © 2019 Utah Republican Party, All rights reserved.
Our mailing address is:
15 West South Temple Suite #250
Salt Lake City, UT 84041
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",Utah Republicans,,Republican Party,,,https://utgop.org/,12-02-2019,orgs,Utah,State Political Party,,2020-09-22,14,Tue,ed6e0cb7a6497f949d730e620fb6840c,03f0a04458b663adf72b51290233a02c,
