from_name,from_address,subject,body_text,name,office_sought,party_affiliation,office_level,district_type,final_website,crawl_date,source,state,type,subtype,date,hour,day,uid_email,uid_inbox,incumbent
"Paul Dame, Recruiting & Training Coordinator",paul@vtgop.org,TWO Days Left,"Help me recruit a few more candidates before Thursday View this email in your browser
# Only TWO Days left
There are only TWO days left to recruit Republicans to get on the primary ballot - the easiest way to get on the ballot for November. Every year we fall short of the 150 House members and 30 senators we'd like to have to hold every single Democrat & Progressive accountable for the way they've spent their time and OUR money in Montpelier.
I have been putting in some longer hours and late nights (as evidence by the time of this email) because I am trying to do everything possible to have as many Republican candidates as possible. But I need your help.
While this might seem like a fundraising email - it isn't. (Although, if you'd rather give your money instead of you time and attention you can do that here) But I'm asking you to do something that might be harder.
Take just 5-10 minutes today to ask FIVE people you know if they would consider running as either a VT House Rep or VT Senator. It's easy to do and will only take a few minutes. You can call them, text them, email them or send them a message on various social media sites.
In fact we've tried to make it easier than ever for you to do that. Over the past few days I've been producing a few Facebook Live videos to promote our push to recruit more candidates - and they are starting to get some traction. I had a great conversation today with someone who filled out our candidate form BECAUSE they saw video #1. Check it out for yourself:
What could help us spread the message even more is if you clicked on any or all of these three videos and hosted a Watch Party while you viewed them, and INVITE other people YOU think should run for office to watch the video too. When you click on each video in the bottom right if you click on the ""Share"" button it will give you several options including ""Start a Watch Party"". You can also make a comment in each of the videos and tag 2-3 people in each video that you think should consider running for office.
Doing that could make the difference between someone running or not. It did with me.
I wasn't planning to run for office until someone sent me an email, and asked me to think about it. I didn't know what it meant, but since I was willing to be asked, I started talking to people. And the more I learned the more exited I got. Simply because someone asked me, I ended up unseating an incumbent Democrat and becoming the first Republican elected in my district in 14 years. That's my story - what could yours be?
We have a lot of long-time powerful Democrats who are throwing in the towel and retiring. They know what a mess this state is in with the upcoming budget challenges and they know they don't have the ability or resolve to guide us through these tough times. But you know people who DO have what it takes. Maybe you ARE one of those people who has faced hard and difficult times and come through on the other side better and stronger than before. Then you are exactly what the State of Vermont is looking for.
So please. Either take a moment to contact us through our website to learn more about becoming a candidate by going to [[URL REDACTED]] or click on the video links above and either start a Facebook Watch Party, or tag a friend or colleague that you know should run for office and help us restore balance and sanity to Montpelier.
Paul Dame
Recruiting and Training Coordinator
VT Republican Party
P.S. If you haven't already, please take a moment to Like and Follow our facebook page here:
[[URL REDACTED]]
This will also help you to get notified the next time we do a Facebook Live recruiting video!
SIGN UP TO SERVE BY RUNNING FOR OFFICE
This email was sent to [[EMAIL_REDACTED]]
why did I get this? unsubscribe from this list update subscription preferences
Vermont Republican Party · PO Box 70 · Montpelier, VT 05601 · USA",Vermont Republicans,,Republican Party,,,https://www.vtgop.org/,12-02-2019,orgs,Vermont,State Political Party,,2020-05-26,00,Tue,08c6437cb620b7378e8da2b443a74bcd,52d9c7234e882828b0031ac086211a57,
VT Republican Party - Paul Dame,paul@vtgop.org,Your ticket to the biggest Republican Party in the County expires TOMORROW,"You could earn a ticket to the RNC Presidential Convention in Charlotte
Greetings Fellow Republicans,
Every four years Vermonters elect a number of our fellow Republicans to represent us on the National Stage. YOU could be one of the lucky 14 to earn a position in our delegation for this year's convention in Charlotte. All that is required is that you be a verified Republican (Member of a town, county or state Republican Committee, a previous national delegate, or a currently elected Republican) and a $25 entry fee, and click the link to submit your request so we can get you on the ballot
Being at the Republican National Convention is an amazing experience! To tell you more here are a few words from our current permanent members about what it's like to be around just about every well known Republican in the County:
""This IS the year to go to the Republican National Convention in Charlotte to help re-elect President Trump.
You work hard in Vermont to elect Republican, some fun but mostly hard work. The Convention is your chance to treat yourself. It runs from August 24 thru the 27. It’s a chance to see Senators, Members of Congress, Governors and of course President Trump and Vice President Pence. There are opportunities to actually talk with many of our elected officials and like-minded Republicans from all over the country.
You will even get to see all the national media talkers some you can ignore and dislike and some that you can maybe get a picture with.
I’m going and I hope you will join me. I often say that if you enjoy or are even frustrated with politics then you need to go at least once. This is the year.
I can guarantee that President Trump will make this the most exciting convention ever. It’s still scheduled to go on time. The Trump Train always runs on schedule.""
Jay Shepard
RNC Vice-Chair and RNC Committeeman for Vermont
""Greetings from Suzanne Butterfield, RNC Committeewoman. I really hope that Vermont will have a full contingent of Delegates, Alternates and guests to attend the upcoming Convention in N.C. this August. I remember my very first one; It was Philly in Y2K! Such an unforgettable and fantastic experience! This year is a very important milestone for our Country as we go forward to re-elect President Trump and Vice President Pence in November. I know it's a real commitment for us to go beyond our borders but the rewards are immeasurable! You'll meet and be with like-minded fellow Republicans from all over this great Nation and its Territories. You'll be introduced to and be in the company of RNC Members and its Leadership, Republican Members of Congress, present and past, and I know that the RNC will roll out the Red Carpet for us. This experience is truly priceless. In addition to the Convention itself, I intend to line up some options and some fun things we'll hopefully be able to do while in Charlotte! Sorry we never got to have our Nominating Convention this time around, but I want you to know the RNC is moving 'full steam ahead' with Convention plans in Charlotte at the Queen City's Spectrum Center. I look forward to seeing everyone there. Please contact me with any questions you may have.""
Suzanne Butterfield
RNC Committeewoman for Vermont
""I had heard from several people who had gone to the GOP National Convention tell me what a good time and how excited it was to be there. I just couldn’t see what the big deal was. In 2016 I had the opportunity to present the then presidential candidate Donald Trump at the Flynn theatre. As the convention approached I decided I would run as a delegate and was lucky to win a seat. This event turned out to be a most exciting trip for me. The energy and enthusiasm that was in the air for the entire event was incredible. Everyone who was there was spirited and experienced a moment you cannot get anywhere else during our political efforts. I highly recommend everyone attend at least one of these national conventions in their life.""
Deb Billado
VT Republican State Party Chair
Once again, the deadline to apply is TOMORROW, Friday April 24th. So click on the link TODAY \- even right now if you have time. Give us your contact info, include a picture and a 200 word bio and we can get your on the ballot for your chance to get elected.
P.S. Delegates will be admitted to the Convention at no cost, but will need to plan to cover their own travel & lodging costs.
Register NOW!
Share Share
Tweet Tweet
Forward Forward
Paid for by the Vermont Republican Party, PO Box 70, Montpelier, VT 05601
Not authorized by any candidate or candidate's committee
unsubscribe from this list update subscription preferences
Photo Courtesy of the Republican National Committee",Vermont Republicans,,Republican Party,,,https://www.vtgop.org/,12-02-2019,orgs,Vermont,State Political Party,,2020-04-23,14,Thu,3af4636b078f67b8dbe076ce96cff8e2,52d9c7234e882828b0031ac086211a57,
The Vermont Republican Party,paul@vtgop.org,Suspicious Vote-by-Mail Activity,"View this email in your browser
# Vote-by-Mail Begins Today!
Please be on the lookout and ready to report suspicious ballot activity.
#### Dear fellow Republicans,
Early voting in Vermont begins today, including the unprecedented process of sending every active, registered voter on the checklist a ""live"" ballot in the mail regardless of whether or not the voter requests one, and, in many cases, regardless of whether or not the person has died or moved away.
This means that an estimated 200,000 unclaimed and unwanted ballots will end up floating around the state, creating dangerous opportunities for honest mistakes, crimes of easy temptation, and organized vote fraud.
True North Reports has set up a public service page where citizens can report on suspicious ballot activity at:
[[URL REDACTED]]
#### Things to be on the lookout for:
* #### You or someone you know received a ballot at your/their address for someone who doesn’t live there.
* #### Someone other than immediate family (such a political activist) tried collect and return a ballot for you or someone else, a process called ""ballot harvesting.""
* #### Someone collecting unused/unclaimed ballots.
* Someone filling out a ballot for someone else (elderly parent, adult child, etc.), or using inappropriate pressure to get someone to vote a certain way.
If you see anything like this, again, please go to [[URL REDACTED]] and file a report.
The former Secretary of State from Colorado, a state that has been doing all-mail-in-voting for roughly a decade, recently reviewed Vermont's plan and determined that we are totally unprepared to operate a safe and secure vote-by-mail program. Our Secretary of State, Jim Condos, has put zero safeguards in place to ensure fraud doesn't occur and errors are avoided or corrected. It's up to us as citizens to be vigilant.
* * *
#### In other news, be sure to share our latest meme on your social media page(s)! CLICK HERE.
Twitter
Facebook
Website
Copyright © 2020 Vermont Republican Party, All rights reserved.
You are receiving this email because you opted in to receive e-mails from the Vermont Republican Party.
Our mailing address is:
Vermont Republican Party
PO Box 70
Montpelier, VT 05601
Add us to your address book
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.
Email Marketing Powered by Mailchimp",Vermont Republicans,,Republican Party,,,https://www.vtgop.org/,12-02-2019,orgs,Vermont,State Political Party,,2020-09-22,13,Tue,f3af30c6ab861d728260b482d3ad3ea1,52d9c7234e882828b0031ac086211a57,
Deb Billado,deb@vtgop.org,Press Release: VTGOP Chair joins AFL-CIO President condemning regressive nature of TCI carbon tax,"The VT Republican Party a defender of the pocketbooks of the middle class workers joined up today with the president of the AFL-CIO to condemn the TCI
## VT Republican Party Joins AFL-CIO President, Condemning the TCI as a Regressive Tax That Hurts Working Commuters
Press Release
December 31st
VT Republican Party State Chair Deb Billado issued comments today in support of the assessment made by AFL-CIO President David Van Duesen in a recent op-ed citing the fairness problems the TCI would pose to Vermont workers.
""The Vermont Republican Party has long been working to help protect hard-working Vermonters from various tax and spend efforts that have come out of Montpelier in the past, and we continue to oppose this newest one which would further separate Vermonter's representation and their taxation. We agree with the assessment of AFL-CIO President David Van Duesen that this initiative would ""put more burdens on low-income and working class people"" and are willing to fight alongside the AFL-CIO to stop this terrible initiative from becoming practice.""
Billado continued, ""This is just another redistribution scheme, but this time the benefactors of affordable green technology have instead decided to pick the pockets of the men and women of Vermont who have no option but to get into their car and drive to work or their job site every day. Increasing the cost of gasoline doesn't help these workers, or get them to drive to work less - it just results in them paying more to a program they are unlikely to benefit from in the immediate future, or possibly ever.""
""Even in our most populated city, public transportation is underutilized and not as flexible as most workers need it to be to accommodate their work and daily life schedules. It makes no sense for workers in VT to pay additional taxes because they have to drive to work, only see to that money get reallocated in some nontransparent regional bureaucracy that is unaccountable to our Governor or Legislature. This problem becomes even more harmful when we consider that without the consent of a single Vermonter these funds could end up supporting things like bike lanes in Connecticut, or electric scooters in Massachusetts. Vermont tax dollars should not be spent outside of Vermont where they can provide little to no benefit to the Vermont workforce that pays them.""
Share
Tweet
Forward
Paid for by the Vermont Republican Party, PO Box 70, Montpelier, VT 05601
Not authorized by any candidate or candidate's committee
unsubscribe from this list update subscription preferences",Vermont Republicans,,Republican Party,,,https://www.vtgop.org/,12-02-2019,orgs,Vermont,State Political Party,,2019-12-31,17,Tue,a05ddf48f1e784330e247c2bfdb3b24b,52d9c7234e882828b0031ac086211a57,
Deb Billado,deb@vtgop.org,Press Release: VTGOP statement on Lt. Gov. Zuckerman entering race for Governor,"Vermont Republican Party Chair Deb Billado Responds to David Zuckerman’s Gubernatorial Candidacy
Berlin, VT -- Deb Billado, Chair of the Vermont Republican Party, released the following statement in response to Lt. Governor David Zuckerman’s intention to announce a bid for Governor of Vermont in 2020:
“David Zuckerman has been at the forefront of Vermont politics over the last two decades in all the wrong ways,” said Billado. “Throughout his time in the House, Senate, and as Lieutenant Governor, he has demonstrated that no tax is too large, no fee is too substantial, and no amount of frivolous spending is too great to satisfy his extreme far-left appetite.”
“Zuckerman’s record includes sponsoring and voting for hundreds of millions of dollars in tax increases on Vermonters, including a new 7.8% payroll tax (H.721 of 1998), income tax hikes on working Vermonters in the middle of the Great Recession (H.177 of 2009), a carbon tax, and many more.”
“As Lieutenant Governor, Zuckerman’s office budget grew by an astonishing rate of 30 percent over just two years, at a time when Vermonters paychecks barely budged. While state government struggles with persistent budget gaps, David Zuckerman expects struggling Vermonters to pick up the tab so he can live beyond his means.”
“And as Vermont’s unfunded liabilities surpass $4.5 billion, Zuckerman is insistent in his support for divesting the state’s pension funds from fossil fuels, which experts (including Democratic Treasurer Pearce) say could cost millions more, further exacerbating our delicate financial situation that has resulted in multiple recent credit rating downgrades.”
“If David Zuckerman intends to act as Governor the same way he has operated over the last two decades in politics, then Vermonters should hold onto their wallets,” added Billado. “Under his direction, regional economic inequalities would grow as rural Vermont falls further and further behind. The cost of living and doing business would skyrocket as taxes, fees, surcharges, and more would be levied without restraint. Overbearing regulations and red tape would prohibit Vermonters from navigating state government in a reasonable fashion. In short, the crisis of affordability would continue to spiral out of control.”
“Thankfully, Zuckerman’s fringe ideas are so out of the mainstream that the prospect of a Zuckerman Administration is nothing more than a delusion which will never come to fruition. Voters will see through his rhetoric and reject his calls for even higher taxes through their actions at the ballot box in November.”
“In the same way that David Zuckerman has been a completely ineffective legislator and Lieutenant Governor, his candidacy for Governor will closely follow his predictable pattern of reckless spending of our hardworking Vermonters paychecks.”
Share
Tweet
Forward
Paid for by the Vermont Republican Party, PO Box 70, Montpelier, VT 05601
Not authorized by any candidate or candidate's committee
unsubscribe from this list update subscription preferences",Vermont Republicans,,Republican Party,,,https://www.vtgop.org/,12-02-2019,orgs,Vermont,State Political Party,,2020-01-07,22,Tue,844a30a06600f9974c09b3629a31e26f,52d9c7234e882828b0031ac086211a57,
"Deb Billado, Republican State Party Chair",info@vtgop.org,The Worst Choice for Vermont - VTGOP Weekly Newsletter - 8/21/20,"View this email in your browser
# Weekly Newsletter
### August 21st, 2020
A Message From The Chair
# David Zuckerman: The Worst Choice for Vermont
####
David Zuckerman has been around for a long, long time. He’s been a part of Montpelier’s mess for more than two decades, contributing to every major policy blunder--from Peter Shumlin’s failed single-payer experiment to the disastrous implementation of Act 46. Now, he wants to take this failed experience to the governor’s office.
Let me be clear: David Zuckerman would be the most disastrous governor in Vermont history.
I did the math: David Zuckerman has voted for (or introduced) well over 500 unique tax and fee hikes during his time in the Legislature. This ranges from a brand new payroll tax on Vermont workers to an income tax hike to a carbon tax. There is no tax or fee that David Zuckerman doesn’t like and isn’t eager to implement on the backs of hardworking Vermonters.
But taxes and fees are just the tip of the iceberg for Zuckerman. As Lieutenant Governor, his office budget has grown by more than 30 percent over less than four years, at a time when Vermonters are struggling to make ends meet. David Zuckerman can’t contain his own office budget--do we really trust him to manage the entire multi-billion dollar Vermont state budget?
Indeed, when it comes to Vermont’s $4.5+ billion in unfunded liabilities, Zuckerman wants to divest the pension fund--something even Democratic Treasurer Beth Pearce and the non-partisan Joint Fiscal Office (JFO) has said will cost millions and is a non-starter.
Zuckerman has also been on the record questioning the science between common-sense public health measures--an especially concerning position given the current public health pandemic. How can he lead Vermonters when he is unable to discern credible facts from inaccurate information?
And when it comes to personal integrity, that’s perhaps where Zuckerman falters the most. While in the Legislature, Zuckerman admitted to repeatedly cheating the system by taking taxpayer money that he wasn’t entitled to. He’s been caught by his own Democratic opponents for lying and flip-flopping about his positions on key issues. And he’s even called into question the honor of our first responders in their response to the September 11th attacks. How can this man possibly be entrusted to be the Commander in Chief of the Vermont National Guard?
Meanwhile, as Zuckerman puts forth untenable policies for you, he’s perfectly happy benefiting as a six-figure earner. In 2019 alone, he made more than $190,000, including from major stock capital gains. There’s nothing wrong with that in theory--unless you spend your political career railing against “the wealthy elite,” as Zuckerman has. Ironically, Zuckerman’s 2019 income places him well within the top 10 percent of income earners in the United States. So much for standing up to the little guy.
Put simply, David Zuckerman is the worst kind of fraudster and political hack. He embodies the radical Progressive takeover of the Vermont Democratic Party. The credibility of his gubernatorial candidacy should be bestowed the same level of respect that he gives to the Vermonters that he seeks to tax into poverty: none whatsoever.
Sincerely,
####
Deb Billado
Chairwoman, VTGOP
#### Upcoming Events:
State Committee Meeting & Platform Convention
Saturday 9/19 @ 10am, Location TBD
Want to see your event in this newsletter or on our website? Submit your event on our website HERE
The Chair's Recommended Reading
Global Warming Solutions Act Still Has Grave Concerns
[Click Here]
The True Story Behind USPS Upgrades
[Click Here]
VT Progressive Chair Runs for President as Communist
[Click Here]
Dems Reluctant to Give Voter Data to Zuckerman
[Click Here]
Voter Suppression of the Unmasked
[Click Here]
Republicans Running for Legislature
SIGN UP TO RUN FOR OFFICE
Facebook Facebook
Twitter Twitter
[[URL REDACTED]] [[URL REDACTED]]
* Do you want to push back against the Democratic Super-majority?
* Do you want to help make Vermont more affordable?
* Are you sick and tired of the tax and spend polices in Montpelier?
* Do you want to make a positive change in your community?
If you answered yes, than we think you should consider running for office in 2020!
SIGN UP TO RUN FOR OFFICE
# Have You Renewed Your Membership?
## Get Your 2020 Vermont Republican Party Membership Today
RENEW NOW
An exciting new opportunity to help elect Republicans!
By joining, you receive the following benefits:
\- Exclusive Lapel Pin
\- Discounts on VTGOP Events
\- Yearly Conference Call w/ State Chair, Party Leadership, and Republican Officials
JOIN NOW
# Represent Team VTGOP!
Wherever you go, represent the Vermont Republican Party with official VTGOP merchandise. Whether its buttons, stickers, magnets, or decals, don't be afraid to proudly support your Vermont Republican Party.
BUY NOW
# Follow Us On Social Media
DONATE
Paid for by the Vermont Republican Party, PO Box 70, Montpelier, VT 05601
Not authorized by any candidate or candidate's committee
[[URL REDACTED]]
update your preferences or unsubscribe from this list.",Vermont Republicans,,Republican Party,,,https://www.vtgop.org/,12-02-2019,orgs,Vermont,State Political Party,,2020-08-21,18,Fri,2e61ab97c6c1e9edeeb077e8fad53658,52d9c7234e882828b0031ac086211a57,
Deb Billado,info@vtgop.org,You won't believe this!,"From the desk of Chairman Deb Billado
Alex,
Last month, Joe Biden and his leftist allies gathered across the country to talk about their policies of an extremist socialist country.
We heard from countless national Democrats who exposed the Democrat Platform including AOC talking about how the country has not gone far left enough.
This week, in our State Capitol, the liberals put another feather in their cap as they passed a bill that will create an unachievable Green New Deal that bypasses the Governor, the legislature, and you!
The only way we can defeat these policies is by winning at the polls in November! We need to identify voters in SWING DISTRICTS on this issue.
Help us get the word out that Governor Scott and our Republican team want a clean environment - but not more lawsuits that will lead to Vermont's own job-killing ""Green New Deal""!
Stop Extremists
Sincerely,
Deb
Deb Billado
Chairwoman
VTGOP
P.S. If you chip in now, we can redouble our unprecedented voter contacts that will help elect Republicans across the ballot this November!
Donate $10 Now >>
Donate $25 Now >>
Donate $50 Now >>
Share Share
Tweet Tweet
Forward Forward
Paid for by the Vermont Republican Party.
Not Authorized by Any Candidate or Candidates Committee. [[URL REDACTED]]
This email was sent to [[EMAIL_REDACTED]]
why did I get this? unsubscribe from this list update subscription preferences
Vermont Republican Party · PO Box 70 · Montpelier, VT 05601 · USA",Vermont Republicans,,Republican Party,,,https://www.vtgop.org/,12-02-2019,orgs,Vermont,State Political Party,,2020-09-13,09,Sun,3d1cc3b5ef58dbc8b090bb826d532b2b,52d9c7234e882828b0031ac086211a57,
Deb Billado,info@vtgop.org,Press Release: VTGOP Submits FOIA Request to Speaker Johnson,"FOR IMMEDIATE RELEASE
October 23rd, 2020
Contact: Deb Billado
Vermont Republican Party Submits FOIA Request to Speaker Johnson
Berlin, VT --
Yesterday on her public facebook page Rep. Cynthia Browning gave details to an incident that occurred on March 25th at the statehouse where she was inappropriately intimidated by one of her colleagues, Rep. Dan Noyes. In her comments Rep. Browning expressed frustration that the Speaker of the House, Mitzi Johnson did not only fail to condemn this kind of behavior, nor did she remain neutral, but instead has publicly supported Rep. Noyes despite his threatening behavior to their fellow colleague.
While it seems clear that Speaker Johnson did fail to reprimand the conduct of Rep. Noyes publicly, the VTGOP has submitted a FOIA request for any communications to or from either Speaker Johnson or her Chief of Staff Jill Krowinski that include the terms “Noyes” or “Browning” to determine what measures the Speaker took to address the inappropriate conduct.
We believe that every member of the legislature should feel safe serving with their colleagues, and the Speaker takes great responsibility in setting the tone for how business is conducted and what kind of conduct is acceptable. Vermonters deserve to know what kind of actions Speaker Johnson took or did not take to address this threatening behavior.
Speaker Johnson made it very clear she condemned the actions of Rep. Browning by punishing her conduct publicly and we want to ensure that the Speaker is also addressing the more physically intimidating conduct exhibited by Rep. Noyes as well.
Vermont law requires a response be sent to this request within 2 days.
Deb Billado
Chair, VTGOP
Share
Tweet
Forward
Paid for by the Vermont Republican Party, PO Box 70, Montpelier, VT 05601
Not authorized by any candidate or candidate's committee
unsubscribe from this list update subscription preferences",Vermont Republicans,,Republican Party,,,https://www.vtgop.org/,12-02-2019,orgs,Vermont,State Political Party,,2020-10-23,15,Fri,cf0c38c667ce6a44ee1ce10581fe4fba,52d9c7234e882828b0031ac086211a57,
Deb Billado,info@vtgop.org,48 Hours ⏰,"Alex, We only have
48 hours until election day.
We’re over half way to our goal, but we still need to raise $3,453.
We’ve had a lot of great Vermonters step up and help us get out the vote for our incredible candidates. But we’re still $3,453 short of our goal.
Click here to chip in $25
Click here to chip in $75
Click here to chip in $101.60 - Our Average Donation
Click here to chip in $150
Click here to chip in $350
Click here to chip in $1,726.50
Click here to chip in the full $3,453!
We need you to help us cross the finish line in a strong position.
Click here to chip in all you can to help our candidates reach the finish line and help us let Vermonters know about our incredible candidates.
Thanks in advance for your support,
Deb Billado
VTGOP Chairwoman
CHIP IN NOW
Copyright © 2020 Vermont Republican Party, All rights reserved.
You are receiving this email because you opted in to receive e-mails from the Vermont Republican Party.
Our mailing address is:
Vermont Republican Party
PO Box 70
Montpelier, VT 05601
Add us to your address book
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.
Paid for by the Vermont Republican Party, PO Box 70, Montpelier, VT 05601
Not authorized by any candidate or candidate's committee",Vermont Republicans,,Republican Party,,,https://www.vtgop.org/,12-02-2019,orgs,Vermont,State Political Party,,2020-11-01,05,Sun,a70a03fbd76cbcecec8606d6fdd29162,52d9c7234e882828b0031ac086211a57,
Deb Billado,info@vtgop.org,"We’re getting there, but we still need you","Alex,
We still need you.
We’re getting closer to our goal, but we’ve still got a long way to go.
If you’ve already given, THANK YOU!
Our candidates will know that you stepped up to help them cross the finish line. Without you, the success we achieve wouldn’t be possible.
If you haven’t given yet, we still need you.
We need to raise $10,000 by election day to help us reach more voters.
Vermonters need to know about our candidates.
And our candidates need you to step up and chip in right now!
Thanks in advance for your support,
Deb Billado
VTGOP Chairwoman
CHIP IN NOW
Copyright © 2020 Vermont Republican Party, All rights reserved.
You are receiving this email because you opted in to receive e-mails from the Vermont Republican Party.
Our mailing address is:
Vermont Republican Party
PO Box 70
Montpelier, VT 05601
Add us to your address book
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.
Paid for by the Vermont Republican Party, PO Box 70, Montpelier, VT 05601
Not authorized by any candidate or candidate's committee",Vermont Republicans,,Republican Party,,,https://www.vtgop.org/,12-02-2019,orgs,Vermont,State Political Party,,2020-10-30,05,Fri,52240706a986b36caa431e408bb70ed5,52d9c7234e882828b0031ac086211a57,
