from_name,from_address,subject,body_text,name,office_sought,party_affiliation,office_level,district_type,final_website,crawl_date,source,state,type,subtype,date,hour,day,uid_email,uid_inbox,incumbent
Darryl Carlson,shebgop.yahoo.com@mail.mailchimpapp.com,Last District Event & VP Debate Watch Party,"View this email in your browser
The left is pulling out all the stops in Wisconsin. Millions of dollars are pouring into the state in an effort to remove our state elected officials in hopes of turning out the vote for Biden.
Additionally, the left is attempting to tear down the newest Supreme Court nominee, Amy Coney Barrett. Amy is a Conservative, pro-life, devout Catholic, which is everything the left hates.
Please consider attending (or simply donating) to the last district fundraiser of the 2020 election cycle. Information and links are below.
This money is used directly for our 6th district candidates. We are all volunteers and the district is not supported by the state or federal party structure.
Thank you,
Darryl – 6th Congressional District Chairman
Please join Kevin Hermening and Carlton Huffman in the final month of the 2020 election cycle and help support 6th Congressional District candidates.
Kevin Hermening: Businessman, Former Marathon County GOP Chairman, and United States Marine who spent 444 days in captivity during the Iranian Revolution in 1979. Kevin will be speaking on current events, the November election, and the importance of safeguarding the liberties and freedoms that we have as Americans.
Carlton Huffman: Trump Victory Strategic Initiatives Director, former Grassroots Director for Republican Party of Wisconsin.
Congressman Glenn Grothman: Glenn will give an update on his race and the national Congressional landscape.
Date:
Wed, October 7, 2020
Location:
Laack's Tavern & Ballroom
W4302 County Road JM
Sheboygan Falls, WI 53085
Timeline:
5:45PM - Bar Opens (cash)
6:00PM - Dinner Served
6:30PM - Program
RSVP HERE
Come for the fundraiser and stay for the debate watching party! Please RSVP to help us with our food counts.
Free to attend.
Trump merchandise will be available for purchase and free-will donations will be accepted to cover the cost of the food.
Light appetizers will be served and a CASH BAR will be available.
RSVP HERE
Please join the Women for Trump - Fox Valley and the 6th Congressional District in this free-showing of No Safe Spaces.
Learn how the left is attacking free speech on campus and how you can fight back. Once they force all Conservative thought out of the education bubble, they will come after your church and place of employment next.
Please RSVP now!
Restaurant and bar service available for purchase
RVSP HERE
Donate to support all of our state elected officials within the 6th Congressional District!
Donate$5 Donate$25
Donate$50 Donate$100
[[URL REDACTED]]
Twitter
Facebook
Website
Copyright © 2020 6th Congressional District, All rights reserved.
Our mailing address is:
1122 Indiana Ave Sheboygan, WI 53081
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",Wisconsin Republicans,,Republican Party,,,https://www.wisgop.org/,12-02-2019,orgs,Wisconsin,State Political Party,,2020-09-28,15,Mon,cbc9ce7672f8b17c4cdffcafff444997,99a34b759486a28059a58675ce25eccf,
Darryl Carlson,shebgop.yahoo.com@mail.mailchimpapp.com,Voter Fraud & Absentee Voting,"View this email in your browser
Official Newsletter of Wisconsin's 6th District
#
STEALING THE ELECTION
FROM JUSTICE DANIEL KELLY
Milwaukee and Dane County clerks are encouraging voters who request absentee ballots to declare themselves ""indefinitely confined,” allowing them to vote without showing a photo ID.
The left is trying to steal the election from Justice Daniel Kelly and they aren't even trying to hide it anymore. Additionally, all over the state, local clerks are shutting down or limiting in-person voting, even though there are practical and safe ways for early in-person voting to continue.
Without a crystal ball to tell us if in-person voting will be allowed on election day, we must cast our votes now. We cannot allow the left to steal this election!
Please go online and request your absentee ballot by April 1st or go into your local clerks office. If you are homebound and do not have a witness to sign your absentee ballot, please reach out to one of your local party members or one of theTrump Victory staffers (listed below). They can witness through a screen door, there's no need for them to even enter your house.
We have a great team of people all across this state working for Justice Kelly including Team Kelly, Trump Victory, and the Republican Party of Wisconsin. Help is still needed and much can be done from the confines of your house. Please reach out to your local county party or to one of the Trump Victory contacts below.
As always, please let me know if you have any questions.
Darryl Carlson - 6th District Chair
Read on for a message from one of the 6th District Trump Victory Regional Directors and for a list of Trump Victory staff covering the 6th District.
MyVote Wisconsin - Register to Vote & Reqeust an Absentee Ballot Here
A Message from London Beth - Trump Victory Regional Director
Hey everyone I’m emailing to let you know the plan for our upcoming statewide get out the vote (GOTV) effort, beginning tomorrow. We are twelve days away from Wisconsin deciding if they want Justice Kelly to remain on the court, and that means that it is time for all of us to put our efforts into high gear.
We cannot lose elections because governments have done the right thing in asking people to stay in their homes. But this does not mean all we can do is sit at home and cross our fingers, making sure Kelly and Trump stay in office is a process everyone can take part in. Obviously during the times we are in we can not host events or knock doors, but that does not mean we stop the reelection effort!
Voter contact will be the difference between a social justice warrior on the bench, or a tried and true honest justice. Voter contact will be the difference between the successful America we know and love, and a socialist America.
To get more information on how we can get Trump elected despite quarantines, please reach out to the Trump Victory field staff closest to you—they await your contact!
Name Email County
Ryan Retza [[URL REDACTED]] Outagamie
Kyle McCullen [[URL REDACTED]] Winnebago
Jaedon Bucholz [[URL REDACTED]] Fond du Lac
London Beth [[URL REDACTED]] Brown
Cole Vernon [[URL REDACTED]] Manitowoc
Kyle Schroeder [[URL REDACTED]] Waukesha
Jan Conwell [[URL REDACTED]] Sheboygan
Job Hou-Seye [[URL REDACTED]] Sheboygan
Julie Carufel [[URL REDACTED]] Ozaukee
Betsy Wirth [[URL REDACTED]] Ozaukee
CLICK ON THE IMAGES FOR MORE INFORMATION
Copyright © 2017 6thWIGOP All rights reserved.
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",Wisconsin Republicans,,Republican Party,,,https://www.wisgop.org/,12-02-2019,orgs,Wisconsin,State Political Party,,2020-03-27,07,Fri,27498357508f2fe5a96b59a799c5f545,99a34b759486a28059a58675ce25eccf,
Darryl Carlson,shebgop.yahoo.com@mail.mailchimpapp.com,Nomination Papers - Help Needed,"View this email in your browser
Official Newsletter of Wisconsin's 6th District
#
NOMINATION PAPERS
ASSISTANCE NEEDED!!
Due to the current state of affairs, Congressman Grothman and our state elected officials will not be able to go door-to-door to collect signatures as they traditionally do.
We are asking for everyone to pitch in and download a nomination form for Glenn and your respective state legislators.
Even if you only get the signatures from your household, it will go a long way to meeting the signature requirements.
Congressman Glenn Grothman
Glenn Grothman Nomination Papers
Senate Districts
8th Senate District
Senator Alberta Darling
NOMINATION PAPERS
14th Senate District
Representative Joan Ballweg
Running to replace retiring Senator Luther Olsen
NOMINATION PAPERS
18th Senate District
Senator Dan Feyen
NOMINATION PAPERS
20th Senate District
Senator Duey Stroebel
NOMINATION PAPERS
Assembly Districts
District 2 Rep. Shae Sortwell
District 23 Rep. Jim Ott
District 24 Rep. Dan Knodl
District 25 Rep. Paul Tittl
District 26 Rep. Terry Katsma
District 27 Rep. Tyler Vorpagel
District 39 Rep. Mark Born
District 40 Rep. Kevin Petersen
District 42 Rep. Jon Plumer
District 52 Rep. Jeremy Thiesfeldt
District 53 Rep. Michael Schraa
District 56 Rep. Dave Murphy
District 59 Rep. Tim Ramthun
District 60 Rep. Robert Brooks
District 72 Rep. Scott Krug
Assembly Districts
Open Seats
Seat vacated by Rep. Ballweg
District 41 Alex Dallman
District 41 Luke Dretzke
District 41 Tate Barber
Seat vacated by Rep. Rohrkaste
District 55 Rachael Cabral Guevara
District 55 Lauri Asbury
NOMINATION FORM INSTRUCTIONS
FIND YOUR ELECTED OFFICIAL HERE
Copyright © 2017 6thWIGOP All rights reserved.
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",Wisconsin Republicans,,Republican Party,,,https://www.wisgop.org/,12-02-2019,orgs,Wisconsin,State Political Party,,2020-04-15,06,Wed,97df52f10593d2cf387c77977be8ea9e,99a34b759486a28059a58675ce25eccf,
Chairman - Republican Party of Wisconsin 6th District,shebgop.yahoo.com@mail.mailchimpapp.com,"Fundraiser, Debate Watch Party & No Safe Spaces","View this email in your browser
Please join Kevin Hermening and Carlton Huffman in the final month of the 2020 election cycle and help support 6th Congressional District candidates.
Kevin Hermening: Businessman, Former Marathon County GOP Chairman, and United States Marine who spent 444 days in captivity during the Iranian Revolution in 1979. Kevin will be speaking on current events, the November election, and the importance of safeguarding the liberties and freedoms that we have as Americans.
Carlton Huffman: Trump Victory Strategic Initiatives Director, former Grassroots Director for Republican Party of Wisconsin.
Congressman Glenn Grothman: Glenn will give an update on his race and the national Congressional landscape.
Date:
Wed, October 7, 2020
Location:
Laack's Tavern & Ballroom
W4302 County Road JM
Sheboygan Falls, WI 53085
Timeline:
5:45PM - Bar Opens (cash)
6:00PM - Dinner Served
6:30PM - Program
RSVP HERE
Come for the fundraiser and stay for the debate watching party! Please RSVP to help us with our food counts.
Free to attend.
Trump merchandise will be available for purchase and free-will donations will be accepted to cover the cost of the food.
Light appetizers will be served and a CASH BAR will be available.
RSVP HERE
Please join the Women for Trump - Fox Valley and the 6th Congressional District in this free-showing of No Safe Spaces.
Learn how the left is attacking free speech on campus and how you can fight back. Once they force all Conservative thought out of the education bubble, they will come after your church and place of employment next.
Please RSVP now!
Restaurant and bar service available for purchase
RVSP HERE
[[URL REDACTED]]
Twitter
Facebook
Website
Copyright © 2020 6th Congressional District, All rights reserved.
Our mailing address is:
1122 Indiana Ave Sheboygan, WI 53081
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",Wisconsin Republicans,,Republican Party,,,https://www.wisgop.org/,12-02-2019,orgs,Wisconsin,State Political Party,,2020-09-20,08,Sun,ea04bc899840d6b1c3c417a4e9f45c96,99a34b759486a28059a58675ce25eccf,
Republican Party of WI - 6th District,shebgop.yahoo.com@mail.mailchimpapp.com,Mask Mandate,"View this email in your browser
Live poll: Do you support Gov Evers’ mask mandate?
Make sure your voice is heard!
Tell Gov. Evers’ and elected officials your thoughts on the mask mandate.
LET YOUR VOICE BE HEARD - CLICK HERE
[[URL REDACTED]]
Twitter
Facebook
Website
Copyright © 2020 6th Congressional District, All rights reserved.
Our mailing address is:
1122 Indiana Ave Sheboygan, WI 53081
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",Wisconsin Republicans,,Republican Party,,,https://www.wisgop.org/,12-02-2019,orgs,Wisconsin,State Political Party,,2020-08-08,08,Sat,9219f587c36766d94a43ab6923c1e94a,99a34b759486a28059a58675ce25eccf,
Darryl Carlson,shebgop.yahoo.com@mail.mailchimpapp.com,Our Candidates Need Your Signatures!,"View this email in your browser
# Our Candidates Need Your Help!
Due to the current state of affairs, our candidates are not able to collect nomination signatures as they have in the past.
Please download, print, sign, and mail in nomination papers ASAP. It's okay if you only have 1 or 2 signatures on a page.
#
6th District Candidates
Congress Congressman Glenn Grothman
Senate Seats
8th District Senator Alberta Darling
14th District Rep. Joan Ballweg
18th District Senator Dan Feyen
20th District Senator Duey Stroebel
24th District Senator Patrick Testin
Assembly Seats
District 2 Rep. Shae Sortwell
Disrtrict 23 Rep. Jim Ott
District 24 Rep. Dan Knodl
District 25 Rep. Paul Tittl
District 26 Rep. Terry Katsma
District 27 Rep. Tyler Vorpagel
District 39 Rep. Mark Born
District 40 Rep. Kevin Petersen
District 41 Primary Alex Dallman
District 41 Primary Luke Dretzke
District 41 Primary Tate Barber
District 41 Primary Gary Will
District 42 Rep. Jon Plumer
District 52 Rep. Jeremy Thiesfeldt
District 53 Rep. Michael Schraa
District 55 Primary Rachael Cabral Guevara
District 55 Primary Lauri Asbury
District 56 Rep. Dave Murphy
District 59 Rep. Tim Ramthun
District 60 Rep. Robert Brooks
District 72 Rep. Scott Krug
Thank you for your help!
Darryl Carlson
6th District Chairman
BattleGroundWI
District Page
Twitter
Facebook
Website
Copyright © 2020 6th Congressional District, All rights reserved.
Our mailing address is:
1122 Indiana Ave Sheboygan, WI 53081
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",Wisconsin Republicans,,Republican Party,,,https://www.wisgop.org/,12-02-2019,orgs,Wisconsin,State Political Party,,2020-05-02,08,Sat,35e0b95728869f08ebfbdc02863a8a93,99a34b759486a28059a58675ce25eccf,
RPW - 6th Congressional District,shebgop.yahoo.com@mail.mailchimpapp.com,Call to Convention (Round 2),"View this email in your browser
2020 Call To Convention (Round 2)
Leading the Way to Victory!
Convention Details
When: Friday, July 10th – Saturday, July 11th, 2020
Where: KI Convention Center/Hyatt Regency
Room Block Information: Click Here or call the hotel and reference RPW Convention at (920) 432-1234.
Friday
* Wisconsin Federation of Republican Women Reception
* Hospitality Suites
Saturday
* Get to Know Your Party Leaders Meet & Greet
* Prayer Service
* Morning Convention Session
* Luncheon Honoring County Parties
* Afternoon Convention Session
* No evening events
Registration mail piece will be hitting mailboxes soon!
Trump Victory
Virtual MAGA Meetup with Governor Scott Walker
Thursday, May 27th at 7pm ​
Governor Walker will be talking about the COVID response and the importance of helping out for November.
(Required) RSVP Link: [[URL REDACTED]]
BattleGroundWI
District Page
Twitter
Facebook
Website
Copyright © 2020 6th Congressional District, All rights reserved.
Our mailing address is:
1122 Indiana Ave Sheboygan, WI 53081
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",Wisconsin Republicans,,Republican Party,,,https://www.wisgop.org/,12-02-2019,orgs,Wisconsin,State Political Party,,2020-05-17,08,Sun,c9d18072e49dd0483d4bf580880f3e4e,99a34b759486a28059a58675ce25eccf,
Darryl Carlson,shebgop.yahoo.com@mail.mailchimpapp.com,Digital Town Hall with Glenn,"View this email in your browser
Concerned Veterans of America - WI
Digital Town Hall
with Congressman Grothman
# Join CVA on June 4th for a conversation with Congressman Grothman.
We will ask Rep. Grothman about the state of veterans' health care amid the coronavirus pandemic, what veterans need to know during this unprecedented time, and what they can do to make a difference.
Upon registration you will be redirected to the Zoom conference link, save it for this Thursday!
JUNE 4TH
6:00PM - 7:30PM
RSVP HERE
Twitter
Facebook
Website
Copyright © 2020 6th Congressional District, All rights reserved.
Our mailing address is:
1122 Indiana Ave Sheboygan, WI 53081
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",Wisconsin Republicans,,Republican Party,,,https://www.wisgop.org/,12-02-2019,orgs,Wisconsin,State Political Party,,2020-06-03,16,Wed,2d5624cacbd1e2c9f2401d3f86c10b4d,99a34b759486a28059a58675ce25eccf,
Wisconsin's 6th Congressional District - Republican Party of Wisconsin,shebgop.yahoo.com@mail.mailchimpapp.com,Attack on Private School Education,"View this email in your browser
Dane County issued an order shutting down all in-person instruction for both public and private schools after 5pm on the Friday before most private schools were set to start.
This may not affect any school districts within the 6th District at this time, however the same thought process may be applied by the Governor to shut down in-person instruction across the state.
This is what is allowed:
1. 4-Year kindergarten
2. Youth Camps & Services
3. K-2 public and private schools
4. Childcare services at PUBLIC schools
5. Private colleges & universities
6. UW-Madison
7. Public & Private dormitories
8. Tech Schools
What isn't allowed:
1. Grades 3-12 public and private schools (BUT THEY ARE ALLOWED TO BE IN PUBLIC/PRIVATE DAYCARE)
Where is the logic in this?
Where is the data?
The likely cause for this is that many of the public schools decided to go virtual and were losing students to the private schools who were overwhelmingly going to be conducting in-person instruction.
Share your opinion below with a short 3 question survey.
Short Survey on COVID and Education
[[URL REDACTED]]
Twitter
Facebook
Website
Copyright © 2020 6th Congressional District, All rights reserved.
Our mailing address is:
1122 Indiana Ave Sheboygan, WI 53081
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",Wisconsin Republicans,,Republican Party,,,https://www.wisgop.org/,12-02-2019,orgs,Wisconsin,State Political Party,,2020-08-25,09,Tue,8affa2e32a2cfc1550ea3cd8ace17c52,99a34b759486a28059a58675ce25eccf,
Wisconsin's 6th District,shebgop.yahoo.com@mail.mailchimpapp.com,ELECTION IS BACK ON!,"DEADLINE IS TOMORROW
View this email in your browser
Official Newsletter of Wisconsin's 6th District
#
VOTE TUESDAY APRIL 7th!
Find Your Polling Location
CLICK ON THE IMAGES FOR MORE INFORMATION
Copyright © 2017 6thWIGOP All rights reserved.
Want to change how you receive these emails?
You can update your preferences or unsubscribe from this list.",Wisconsin Republicans,,Republican Party,,,https://www.wisgop.org/,12-02-2019,orgs,Wisconsin,State Political Party,,2020-04-06,22,Mon,5d1bc8e8cce7b33a80b26d867e3f165e,99a34b759486a28059a58675ce25eccf,
